horizon,fold,series,max_lag,effective_lag,observations,q_statistic,p_value,reject_at_5pct
10,1,non_overlapping_ridge_residual_bps,5,5,4004,72.74156244377544,2.7519977906098532e-14,1
10,1,non_overlapping_ridge_residual_bps,10,10,4004,79.78599559078862,5.529466408797814e-13,1
10,1,non_overlapping_ridge_residual_bps,20,20,4004,87.05493658294877,2.4149771254147694e-10,1
10,2,non_overlapping_ridge_residual_bps,5,5,4004,36.41787426237837,7.834512639753429e-07,1
10,2,non_overlapping_ridge_residual_bps,10,10,4004,41.02826120230787,1.1154910619510844e-05,1
10,2,non_overlapping_ridge_residual_bps,20,20,4004,48.62124071140312,0.0003478216221083385,1
10,3,non_overlapping_ridge_residual_bps,5,5,4004,18.755879424234934,0.002134079651228828,1
10,3,non_overlapping_ridge_residual_bps,10,10,4004,25.721802717774032,0.004132922646094638,1
10,3,non_overlapping_ridge_residual_bps,20,20,4004,41.1052619837077,0.003610991675193801,1
10,4,non_overlapping_ridge_residual_bps,5,5,4004,69.89439406287721,1.0779817734155675e-13,1
10,4,non_overlapping_ridge_residual_bps,10,10,4004,74.16806398621183,6.906012421729823e-12,1
10,4,non_overlapping_ridge_residual_bps,20,20,4004,82.97513062223283,1.2202443617258283e-09,1
10,5,non_overlapping_ridge_residual_bps,5,5,4004,30.986180476540635,9.42628456147081e-06,1
10,5,non_overlapping_ridge_residual_bps,10,10,4004,47.52190158348691,7.587077927834985e-07,1
10,5,non_overlapping_ridge_residual_bps,20,20,4004,54.17747788547476,5.4444483685561244e-05,1
