horizon,fold,model,feature,normalized_gain_importance
10,1,lightgbm_classifier,spread_bps,0.06642934520767496
10,1,lightgbm_classifier,queue_imbalance_l1,0.038641274303090944
10,1,lightgbm_classifier,microprice_deviation_bps,0.03221237907598638
10,1,lightgbm_classifier,depth_imbalance_1,0.008114552517059852
10,1,lightgbm_classifier,depth_imbalance_5,0.019427663205182823
10,1,lightgbm_classifier,depth_imbalance_10,0.013063563377168488
10,1,lightgbm_classifier,ofi_l1,0.0335291949228344
10,1,lightgbm_classifier,event_interarrival_us,0.014561181285007961
10,1,lightgbm_classifier,is_submission,0.0020101875813146445
10,1,lightgbm_classifier,is_partial_cancel,0.0
10,1,lightgbm_classifier,is_deletion,0.007851148148356296
10,1,lightgbm_classifier,is_visible_execution,0.034705929360845114
10,1,lightgbm_classifier,is_hidden_execution,0.0094534505714281
10,1,lightgbm_classifier,seconds_from_open,0.07196060066438291
10,1,lightgbm_classifier,session_fraction,0.010944084671879895
10,1,lightgbm_classifier,time_sin,0.007700241195108901
10,1,lightgbm_classifier,time_cos,0.03454959050485351
10,1,lightgbm_classifier,event_intensity_20,0.03241445039641687
10,1,lightgbm_classifier,ofi_l1_sum_20,0.024965987056332264
10,1,lightgbm_classifier,add_pressure_20,0.017395645710222896
10,1,lightgbm_classifier,cancel_pressure_20,0.006404410406384969
10,1,lightgbm_classifier,trade_pressure_20,0.11036943124998351
10,1,lightgbm_classifier,rolling_volatility_20,0.09432601049724393
10,1,lightgbm_classifier,event_intensity_50,0.024939760979658016
10,1,lightgbm_classifier,ofi_l1_sum_50,0.021411170341249054
10,1,lightgbm_classifier,add_pressure_50,0.013329049794368707
10,1,lightgbm_classifier,cancel_pressure_50,0.011863966783117817
10,1,lightgbm_classifier,trade_pressure_50,0.046759933533006934
10,1,lightgbm_classifier,rolling_volatility_50,0.04953546585907262
10,1,lightgbm_classifier,event_intensity_100,0.022463742675357008
10,1,lightgbm_classifier,ofi_l1_sum_100,0.039975055114596404
10,1,lightgbm_classifier,add_pressure_100,0.012612266006304558
10,1,lightgbm_classifier,cancel_pressure_100,0.012838425380521304
10,1,lightgbm_classifier,trade_pressure_100,0.01833639880525073
10,1,lightgbm_classifier,rolling_volatility_100,0.03490444281873724
10,1,lightgbm_regressor,spread_bps,0.0350784040391074
10,1,lightgbm_regressor,queue_imbalance_l1,0.03890574618776607
10,1,lightgbm_regressor,microprice_deviation_bps,0.032905718481799205
10,1,lightgbm_regressor,depth_imbalance_1,0.010120560940521215
10,1,lightgbm_regressor,depth_imbalance_5,0.02011998628039674
10,1,lightgbm_regressor,depth_imbalance_10,0.0176544307947534
10,1,lightgbm_regressor,ofi_l1,0.04301122872243432
10,1,lightgbm_regressor,event_interarrival_us,0.0074488224327822344
10,1,lightgbm_regressor,is_submission,0.0019394541447410223
10,1,lightgbm_regressor,is_partial_cancel,0.0
