horizon,scope,fold,ridge_rank_ic_estimate,ridge_rank_ic_ci_lower,ridge_rank_ic_ci_upper,ridge_rank_ic_probability_above_benchmark,ridge_mae_improvement_bps_estimate,ridge_mae_improvement_bps_ci_lower,ridge_mae_improvement_bps_ci_upper,ridge_mae_improvement_bps_probability_above_benchmark,ridge_mae_improvement_pct_estimate,ridge_mae_improvement_pct_ci_lower,ridge_mae_improvement_pct_ci_upper,ridge_mae_improvement_pct_probability_above_benchmark,ridge_nonzero_directional_accuracy_estimate,ridge_nonzero_directional_accuracy_ci_lower,ridge_nonzero_directional_accuracy_ci_upper,ridge_nonzero_directional_accuracy_probability_above_benchmark,mean_gross_return_active_bps_estimate,mean_gross_return_active_bps_ci_lower,mean_gross_return_active_bps_ci_upper,mean_gross_return_active_bps_probability_above_benchmark,mean_estimated_cost_active_bps_estimate,mean_estimated_cost_active_bps_ci_lower,mean_estimated_cost_active_bps_ci_upper,mean_estimated_cost_active_bps_probability_above_benchmark,mean_net_return_active_bps_estimate,mean_net_return_active_bps_ci_lower,mean_net_return_active_bps_ci_upper,mean_net_return_active_bps_probability_above_benchmark,break_even_cost_fraction_estimate,break_even_cost_fraction_ci_lower,break_even_cost_fraction_ci_upper,break_even_cost_fraction_probability_above_benchmark
10,horizon_mean,,0.19791136613035257,0.1819861162381211,0.2099752577084603,1.0,-0.013740027000236233,-0.015272130759663575,-0.012382988363192531,0.0,-5.9329860095427565,-6.657017510935545,-5.332204224754898,0.0,0.6011550956579775,0.5930937846849765,0.6089867412438353,1.0,0.08768793811518674,0.07653311874799874,0.09554428830474636,1.0,2.4388609858330454,2.3489231597367257,2.5219048174072918,1.0,-2.3511730477178583,-2.433550179356518,-2.2645324214541347,0.0,0.03715254136983702,0.03271494451426715,0.040171045492070144,0.0
50,horizon_mean,,0.2113900319154994,0.1829164258346734,0.2361528536390189,1.0,-0.0011236643174446837,-0.007295228980005059,0.005040062073172373,0.327,-0.0550312898971308,-0.9874783897059906,0.8643449710309248,0.412,0.5707439795532393,0.556232525996614,0.5827267116976738,1.0,0.21511748030163771,0.17328822155503676,0.25096003650886567,1.0,2.567361187748679,2.47151797324366,2.6536779698579553,1.0,-2.3522437074470406,-2.4469083810879115,-2.250570129907962,0.0,0.08736958733818476,0.07179192400490945,0.10166001452913948,0.0
100,horizon_mean,,0.16409465671986095,0.12629195060704998,0.19387863233174887,1.0,-0.03092117810688171,-0.047184813601602295,-0.015058010031560116,0.0,-3.0852047750217455,-4.74185622274394,-1.4973632899661236,0.0,0.5403845792258031,0.5234816263814475,0.5562641683738057,1.0,0.24452185404922266,0.16367780196012624,0.31442954959951835,1.0,2.5317951538171917,2.4471084745831124,2.6133346670041786,1.0,-2.287273299767969,-2.4048783518216568,-2.1622469013108847,0.0,0.10361886937215785,0.07027696929323318,0.13550072766310958,0.0
