horizon,fold,model,feature,normalized_gain_importance
50,2,lightgbm_classifier,add_pressure_100,0.0251799256753054
50,2,lightgbm_classifier,cancel_pressure_100,0.015927275385245382
50,2,lightgbm_classifier,trade_pressure_100,0.029471187024046594
50,2,lightgbm_classifier,rolling_volatility_100,0.0598743244434271
50,2,lightgbm_regressor,spread_bps,0.07296221578743704
50,2,lightgbm_regressor,queue_imbalance_l1,0.017047148143547183
50,2,lightgbm_regressor,microprice_deviation_bps,0.013992145405525375
50,2,lightgbm_regressor,depth_imbalance_1,0.0040769039847078125
50,2,lightgbm_regressor,depth_imbalance_5,0.01888904587603708
50,2,lightgbm_regressor,depth_imbalance_10,0.023081669644702284
50,2,lightgbm_regressor,ofi_l1,0.0016379929542355036
50,2,lightgbm_regressor,event_interarrival_us,0.0
50,2,lightgbm_regressor,is_submission,0.0
50,2,lightgbm_regressor,is_partial_cancel,0.0
50,2,lightgbm_regressor,is_deletion,0.0003480752775894263
50,2,lightgbm_regressor,is_visible_execution,0.00788240220537465
50,2,lightgbm_regressor,is_hidden_execution,0.0011951466401093572
50,2,lightgbm_regressor,seconds_from_open,0.0619893568295358
50,2,lightgbm_regressor,session_fraction,0.008886857616440863
50,2,lightgbm_regressor,time_sin,0.050174071627488805
50,2,lightgbm_regressor,time_cos,0.03247429385460404
50,2,lightgbm_regressor,event_intensity_20,0.007047590343945641
50,2,lightgbm_regressor,ofi_l1_sum_20,0.013535640936825615
50,2,lightgbm_regressor,add_pressure_20,0.004008561365560667
50,2,lightgbm_regressor,cancel_pressure_20,0.0030517382708844104
50,2,lightgbm_regressor,trade_pressure_20,0.14203732923028625
50,2,lightgbm_regressor,rolling_volatility_20,0.028136226788108062
50,2,lightgbm_regressor,event_intensity_50,0.03127109861269034
50,2,lightgbm_regressor,ofi_l1_sum_50,0.04568124535146685
50,2,lightgbm_regressor,add_pressure_50,0.012871614240672055
50,2,lightgbm_regressor,cancel_pressure_50,0.012361432473490442
50,2,lightgbm_regressor,trade_pressure_50,0.06539090504189919
50,2,lightgbm_regressor,rolling_volatility_50,0.043248040862754564
50,2,lightgbm_regressor,event_intensity_100,0.034239329665087505
50,2,lightgbm_regressor,ofi_l1_sum_100,0.031186723608420185
50,2,lightgbm_regressor,add_pressure_100,0.022668855066725783
50,2,lightgbm_regressor,cancel_pressure_100,0.039177846889008675
50,2,lightgbm_regressor,trade_pressure_100,0.02930631719041951
50,2,lightgbm_regressor,rolling_volatility_100,0.12014217821441903
50,3,lightgbm_classifier,spread_bps,0.07940201971795247
50,3,lightgbm_classifier,queue_imbalance_l1,0.036492008400157636
50,3,lightgbm_classifier,microprice_deviation_bps,0.023190787269248548
50,3,lightgbm_classifier,depth_imbalance_1,0.006552655050675473
50,3,lightgbm_classifier,depth_imbalance_5,0.024197905750649534
50,3,lightgbm_classifier,depth_imbalance_10,0.021068953599793286
50,3,lightgbm_classifier,ofi_l1,0.0016935236469688931
50,3,lightgbm_classifier,event_interarrival_us,0.00048466277238140576
50,3,lightgbm_classifier,is_submission,0.0
50,3,lightgbm_classifier,is_partial_cancel,0.0
50,3,lightgbm_classifier,is_deletion,0.0
50,3,lightgbm_classifier,is_visible_execution,0.00468988113942312
50,3,lightgbm_classifier,is_hidden_execution,0.0003942750422336677
50,3,lightgbm_classifier,seconds_from_open,0.04278191292831056
50,3,lightgbm_classifier,session_fraction,0.009642724901245842
50,3,lightgbm_classifier,time_sin,0.05740945849106993
50,3,lightgbm_classifier,time_cos,0.0400213089978054
50,3,lightgbm_classifier,event_intensity_20,0.026846782472829043
50,3,lightgbm_classifier,ofi_l1_sum_20,0.01643716903743718
50,3,lightgbm_classifier,add_pressure_20,0.01923566315980899
50,3,lightgbm_classifier,cancel_pressure_20,0.021796350446371574
50,3,lightgbm_classifier,trade_pressure_20,0.0699017268213022
50,3,lightgbm_classifier,rolling_volatility_20,0.03473562282256421
50,3,lightgbm_classifier,event_intensity_50,0.030134698929230694
50,3,lightgbm_classifier,ofi_l1_sum_50,0.025503750234360387
50,3,lightgbm_classifier,add_pressure_50,0.018560389319158828
50,3,lightgbm_classifier,cancel_pressure_50,0.010823472020294466
50,3,lightgbm_classifier,trade_pressure_50,0.07777354100553595
50,3,lightgbm_classifier,rolling_volatility_50,0.10059844568150755
50,3,lightgbm_classifier,event_intensity_100,0.03118679489642083
50,3,lightgbm_classifier,ofi_l1_sum_100,0.041914461169686223
50,3,lightgbm_classifier,add_pressure_100,0.01931761958172813
50,3,lightgbm_classifier,cancel_pressure_100,0.01681255065948152
50,3,lightgbm_classifier,trade_pressure_100,0.027854784784199477
50,3,lightgbm_classifier,rolling_volatility_100,0.06254409925016696
50,3,lightgbm_regressor,spread_bps,0.06564351774762148
50,3,lightgbm_regressor,queue_imbalance_l1,0.021905766928564243
50,3,lightgbm_regressor,microprice_deviation_bps,0.015036941395558534
50,3,lightgbm_regressor,depth_imbalance_1,0.0033822276471731196
50,3,lightgbm_regressor,depth_imbalance_5,0.015847351936430398
50,3,lightgbm_regressor,depth_imbalance_10,0.02205117387475345
50,3,lightgbm_regressor,ofi_l1,0.001106133442290661
50,3,lightgbm_regressor,event_interarrival_us,0.0
50,3,lightgbm_regressor,is_submission,0.0
50,3,lightgbm_regressor,is_partial_cancel,0.0
50,3,lightgbm_regressor,is_deletion,0.0
50,3,lightgbm_regressor,is_visible_execution,0.010387251835424324
50,3,lightgbm_regressor,is_hidden_execution,0.0010237853668190035
50,3,lightgbm_regressor,seconds_from_open,0.04463408119218908
50,3,lightgbm_regressor,session_fraction,0.007979627064463158
50,3,lightgbm_regressor,time_sin,0.06242861313034461
50,3,lightgbm_regressor,time_cos,0.03091447004928257
50,3,lightgbm_regressor,event_intensity_20,0.007091003918784404
50,3,lightgbm_regressor,ofi_l1_sum_20,0.009807762233439744
50,3,lightgbm_regressor,add_pressure_20,0.0038810112622152484
50,3,lightgbm_regressor,cancel_pressure_20,0.003592591159441865
50,3,lightgbm_regressor,trade_pressure_20,0.1469713326680808
50,3,lightgbm_regressor,rolling_volatility_20,0.029800779037049696
50,3,lightgbm_regressor,event_intensity_50,0.02829610297434411
50,3,lightgbm_regressor,ofi_l1_sum_50,0.03619706275547071
50,3,lightgbm_regressor,add_pressure_50,0.017765028772031684
50,3,lightgbm_regressor,cancel_pressure_50,0.013819684530694498
50,3,lightgbm_regressor,trade_pressure_50,0.10121332620590241
50,3,lightgbm_regressor,rolling_volatility_50,0.038018067951592
50,3,lightgbm_regressor,event_intensity_100,0.04211148390689914
50,3,lightgbm_regressor,ofi_l1_sum_100,0.03462816808130503
50,3,lightgbm_regressor,add_pressure_100,0.023743576059140892
50,3,lightgbm_regressor,cancel_pressure_100,0.01677567822382198
50,3,lightgbm_regressor,trade_pressure_100,0.03205813231673145
50,3,lightgbm_regressor,rolling_volatility_100,0.11188826633213969
50,4,lightgbm_classifier,spread_bps,0.08883534428728568
50,4,lightgbm_classifier,queue_imbalance_l1,0.03143369733743814
50,4,lightgbm_classifier,microprice_deviation_bps,0.022382062770013644
50,4,lightgbm_classifier,depth_imbalance_1,0.006014661345371903
50,4,lightgbm_classifier,depth_imbalance_5,0.02060521199372955
50,4,lightgbm_classifier,depth_imbalance_10,0.024948380484932763
50,4,lightgbm_classifier,ofi_l1,0.0013414420894110432
50,4,lightgbm_classifier,event_interarrival_us,0.0010833594397503348
50,4,lightgbm_classifier,is_submission,4.720253652558962e-05
50,4,lightgbm_classifier,is_partial_cancel,0.0
50,4,lightgbm_classifier,is_deletion,9.26163420787581e-05
50,4,lightgbm_classifier,is_visible_execution,0.005333540417884779
50,4,lightgbm_classifier,is_hidden_execution,0.0003614131941502581
50,4,lightgbm_classifier,seconds_from_open,0.047772592563212576
50,4,lightgbm_classifier,session_fraction,0.009005116436509341
50,4,lightgbm_classifier,time_sin,0.0540487313944951
50,4,lightgbm_classifier,time_cos,0.043234849887785615
50,4,lightgbm_classifier,event_intensity_20,0.04210583629482302
50,4,lightgbm_classifier,ofi_l1_sum_20,0.018378935788427857
50,4,lightgbm_classifier,add_pressure_20,0.014066716873032431
50,4,lightgbm_classifier,cancel_pressure_20,0.023724135677075823
50,4,lightgbm_classifier,trade_pressure_20,0.07616342877192223
50,4,lightgbm_classifier,rolling_volatility_20,0.04847812784468698
50,4,lightgbm_classifier,event_intensity_50,0.029818678202415128
50,4,lightgbm_classifier,ofi_l1_sum_50,0.022330314911892774
50,4,lightgbm_classifier,add_pressure_50,0.012584008940501266
50,4,lightgbm_classifier,cancel_pressure_50,0.012625338850088538
50,4,lightgbm_classifier,trade_pressure_50,0.0789381638000808
50,4,lightgbm_classifier,rolling_volatility_50,0.09228285311592563
50,4,lightgbm_classifier,event_intensity_100,0.029477345882442888
50,4,lightgbm_classifier,ofi_l1_sum_100,0.039210611330639834
50,4,lightgbm_classifier,add_pressure_100,0.016670914879024317
50,4,lightgbm_classifier,cancel_pressure_100,0.014290130323246974
50,4,lightgbm_classifier,trade_pressure_100,0.026272475377882448
50,4,lightgbm_classifier,rolling_volatility_100,0.04604176061531597
50,4,lightgbm_regressor,spread_bps,0.08073945696558849
50,4,lightgbm_regressor,queue_imbalance_l1,0.02312975321797102
50,4,lightgbm_regressor,microprice_deviation_bps,0.014750804419989341
50,4,lightgbm_regressor,depth_imbalance_1,0.004652905836146897
50,4,lightgbm_regressor,depth_imbalance_5,0.0210644684713204
50,4,lightgbm_regressor,depth_imbalance_10,0.021440149173581967
50,4,lightgbm_regressor,ofi_l1,0.0009837734090669236
50,4,lightgbm_regressor,event_interarrival_us,8.944413640538625e-05
50,4,lightgbm_regressor,is_submission,0.0
50,4,lightgbm_regressor,is_partial_cancel,0.0
50,4,lightgbm_regressor,is_deletion,0.0011473013893221458
50,4,lightgbm_regressor,is_visible_execution,0.013083422967602376
50,4,lightgbm_regressor,is_hidden_execution,0.0011528939402990525
50,4,lightgbm_regressor,seconds_from_open,0.04533431744883411
50,4,lightgbm_regressor,session_fraction,0.007154945762919029
50,4,lightgbm_regressor,time_sin,0.0640900681965498
50,4,lightgbm_regressor,time_cos,0.04166209403788162
50,4,lightgbm_regressor,event_intensity_20,0.0071672616158606085
50,4,lightgbm_regressor,ofi_l1_sum_20,0.013119452459007232
50,4,lightgbm_regressor,add_pressure_20,0.0026418266472696046
