horizon,folds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_minimum,balanced_accuracy_maximum,balanced_accuracy_positive_folds,balanced_accuracy_folds,macro_f1_mean,macro_f1_std,macro_f1_minimum,macro_f1_maximum,macro_f1_positive_folds,macro_f1_folds,ridge_mae_improvement_bps_mean,ridge_mae_improvement_bps_std,ridge_mae_improvement_bps_minimum,ridge_mae_improvement_bps_maximum,ridge_mae_improvement_bps_positive_folds,ridge_mae_improvement_bps_folds,ridge_mae_improvement_pct_mean,ridge_mae_improvement_pct_std,ridge_mae_improvement_pct_minimum,ridge_mae_improvement_pct_maximum,ridge_mae_improvement_pct_positive_folds,ridge_mae_improvement_pct_folds,ridge_rmse_improvement_bps_mean,ridge_rmse_improvement_bps_std,ridge_rmse_improvement_bps_minimum,ridge_rmse_improvement_bps_maximum,ridge_rmse_improvement_bps_positive_folds,ridge_rmse_improvement_bps_folds,ridge_rmse_improvement_pct_mean,ridge_rmse_improvement_pct_std,ridge_rmse_improvement_pct_minimum,ridge_rmse_improvement_pct_maximum,ridge_rmse_improvement_pct_positive_folds,ridge_rmse_improvement_pct_folds,ridge_rank_ic_mean,ridge_rank_ic_std,ridge_rank_ic_minimum,ridge_rank_ic_maximum,ridge_rank_ic_positive_folds,ridge_rank_ic_folds,ridge_directional_accuracy_mean,ridge_directional_accuracy_std,ridge_directional_accuracy_minimum,ridge_directional_accuracy_maximum,ridge_directional_accuracy_positive_folds,ridge_directional_accuracy_folds,ridge_nonzero_directional_accuracy_mean,ridge_nonzero_directional_accuracy_std,ridge_nonzero_directional_accuracy_minimum,ridge_nonzero_directional_accuracy_maximum,ridge_nonzero_directional_accuracy_positive_folds,ridge_nonzero_directional_accuracy_folds,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_minimum,active_signal_fraction_maximum,active_signal_fraction_positive_folds,active_signal_fraction_folds,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_minimum,mean_gross_return_active_bps_maximum,mean_gross_return_active_bps_positive_folds,mean_gross_return_active_bps_folds,mean_estimated_cost_active_bps_mean,mean_estimated_cost_active_bps_std,mean_estimated_cost_active_bps_minimum,mean_estimated_cost_active_bps_maximum,mean_estimated_cost_active_bps_positive_folds,mean_estimated_cost_active_bps_folds,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_minimum,mean_net_return_active_bps_maximum,mean_net_return_active_bps_positive_folds,mean_net_return_active_bps_folds,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_minimum,break_even_cost_fraction_maximum,break_even_cost_fraction_positive_folds,break_even_cost_fraction_folds,net_return_bps_mean,net_return_bps_std,net_return_bps_minimum,net_return_bps_maximum,net_return_bps_positive_folds,net_return_bps_folds,max_drawdown_bps_mean,max_drawdown_bps_std,max_drawdown_bps_minimum,max_drawdown_bps_maximum,max_drawdown_bps_positive_folds,max_drawdown_bps_folds
10,5,0.3655683645405613,0.008138614616572745,0.3539233051707171,0.3759777187459576,5,5,0.2929050265204145,0.03399473671734389,0.2515561222311448,0.3429536422524913,5,5,-0.0137308721107786,0.003207103924035226,-0.01890512857917,-0.0104953682545278,0,5,-5.925137928317545,0.8554527854449334,-7.015692606541128,-5.048983800723147,0,5,0.00286727578754544,0.003607901992884268,-0.0029672902844763,0.0064238018011744,4,5,0.7954951964636747,0.9450937102333402,-0.6757562075772567,1.8663018874224029,4,5,0.1981749020818202,0.041472057799167864,0.1285439394215576,0.2308355456378619,5,5,0.3657234196658258,0.009893484670525964,0.3526311845950198,0.3752591223557032,5,5,0.6012207114440923,0.029978638487812317,0.5508900214196026,0.6293193717277487,5,5,0.41568431568431563,0.15063952924842755,0.2589910089910089,0.6523476523476524,5,5,0.08706173189771942,0.028987278169503083,0.0375299197606961,0.1079891610748796,5,5,2.4384385802602715,0.3030961187975147,2.077241553098764,2.8864569106987004,5,5,-2.3515221338379124,0.32475695034822466,-2.8489780757699346,-1.9894388255968225,0,5,0.03691393093132156,0.013889604877416388,0.0130070514456484,0.0474315890016814,5,5,-4002.919604571683,1981.5515898537428,-7438.6817558353,-2407.1767539636494,0,5,-4002.5765396294883,1981.8970458355427,-7438.68175583529,-2405.461429252682,0,5
50,5,0.3789982042607208,0.029291239538037132,0.3488813857359522,0.4117738102036769,5,5,0.28983068280172003,0.055881693111761215,0.2171878788121974,0.3678920423541542,5,5,-0.0011839471860885403,0.026591439136992148,-0.044782891063928,0.0262624228201702,4,5,-0.06453448821322709,4.026552520132913,-6.562100305260859,4.300183486415573,4,5,0.0005802149048812405,0.030690168629865764,-0.0524872460541674,0.0266962989797654,4,5,0.19251304376316244,3.5152773887367834,-5.82349214679055,3.388270309509748,4,5,0.21113460532531253,0.07606113952814798,0.0902680738938572,0.2997588186373853,5,5,0.5273608231973825,0.03374291023830724,0.4835535353030795,0.5741152376432977,5,5,0.5706359470706913,0.03636029406148563,0.5209751634690418,0.6189117148165101,5,5,0.47890137328339577,0.15084073018864536,0.3757802746566791,0.7440699126092385,5,5,0.21371469894950973,0.0931442282174592,0.0653165984869727,0.3112908199611579,5,5,2.5669816753275105,0.3255375724884715,2.091894604635793,2.858277098450811,5,5,-2.353639725964844,0.38940546585031016,-2.7929604999638378,-1.7775548535201215,0,5,0.08701880287328372,0.04495470791515789,0.0228517376857458,0.1492617633064025,5,5,-926.3130274961256,431.95192200217383,-1664.6044579784475,-583.0379919545999,0,5,-926.3130274961266,431.9519220021752,-1664.604457978451,-583.0379919546001,0,5
100,5,0.34972201137589204,0.0558204154597699,0.2522594763958529,0.3880225481609758,5,5,0.25528905837279015,0.11274031770972207,0.077158501539435,0.3729230798873429,5,5,-0.031022468941320026,0.08170061741465065,-0.173519493253374,0.0318613872776182,2,5,-3.095868283469685,8.211173396890526,-17.407273397459047,3.25821916699188,2,5,-0.037584414343971265,0.1052344571174115,-0.2239688897718446,0.0277330217177664,3,5,-2.9404599279766614,8.332746500546438,-17.689112381825016,2.2952185444289723,3,5,0.1640121489324619,0.09173153019518793,0.0237114036282722,0.2697887293243849,5,5,0.5229051674617249,0.03378681262469067,0.4937685756387522,0.5732660655860536,5,5,0.5403373061085687,0.03326773120670541,0.5116194813933026,0.5888555375971677,5,5,0.5037406483790523,0.24337542361222042,0.3167082294264339,0.9027431421446384,5,5,0.252229115359839,0.15931679288605502,0.0386171977105647,0.4104878201451854,5,5,2.5245295690190273,0.3498645181421609,2.0645833142596506,2.9646935844679185,5,5,-2.271547198118519,0.48937942762875813,-2.9266795823724108,-1.6715573130764827,0,5,0.10758674201107014,0.07412323887328266,0.0130617783774637,0.1921566071997332,5,5,-489.737204759601,343.8631947016966,-1056.5313292364403,-267.6824668269243,0,5,-488.78115333380646,341.7370558504673,-1051.407318175457,-267.6824668269242,0,5
