horizon,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,purge_events,development_end_exclusive,train_rows_after_target_filter,validation_rows_after_target_filter,train_time_start_seconds,train_time_end_seconds,validation_time_start_seconds,validation_time_end_seconds,logistic_balanced_accuracy,lightgbm_balanced_accuracy,lightgbm_balanced_accuracy_delta,logistic_macro_f1,lightgbm_macro_f1,lightgbm_macro_f1_delta,zero_mae_bps,ridge_mae_bps,lightgbm_mae_bps,ridge_mae_improvement_pct,lightgbm_mae_improvement_pct,lightgbm_mae_delta_vs_ridge_bps,ridge_rmse_bps,lightgbm_rmse_bps,ridge_rank_ic,lightgbm_rank_ic,lightgbm_rank_ic_delta,ridge_nonzero_directional_accuracy,lightgbm_nonzero_directional_accuracy,logistic_active_signal_fraction,lightgbm_active_signal_fraction,logistic_mean_gross_active_bps,lightgbm_mean_gross_active_bps,logistic_mean_net_active_bps,lightgbm_mean_net_active_bps,logistic_break_even_cost_fraction,lightgbm_break_even_cost_fraction
50,1,0,120016,120117,160155,120017,40039,100,320312,120017,40039,34200.004241176,40503.071225279,40504.816458975,43228.641331124,0.34888138573595223,0.39328531869166206,0.044403932955709824,0.2893962939637402,0.37503047773993886,0.08563418377619864,0.6824475241261624,0.7272304151900905,0.6791093280284725,-6.562100305260859,0.48915059102372876,0.048121087161618004,0.9537891578820089,0.8883989746807088,0.09026807389385723,0.2003670649882575,0.11009899109440026,0.5209751634690418,0.5688991739095337,0.7440699126092385,0.6429463171036205,0.06531659848697272,0.14615461799424076,-2.7929604999638378,-2.7278133058160217,0.022851737685745856,0.05085464482166913
50,2,0,160055,160156,200194,160056,40039,100,320312,160056,40039,34200.004241176,43223.952170632,43228.641331124,45969.413604707,0.3509298144000723,0.41799532351257707,0.06706550911250475,0.26380254177362,0.37571706819115674,0.11191452641753674,0.6339655277146787,0.6338358649555217,0.6148714116432088,0.020452651364886384,3.0118539946959695,0.01896445331231289,0.8207145033177423,0.7963190164999612,0.2363294756130505,0.2920776392445945,0.055748163631544,0.5686920083807243,0.5988408478680852,0.4544319600499376,0.682896379525593,0.2537843969575162,0.17765189230641693,-2.587696091670942,-2.558756953602677,0.08956049398930138,0.06504391743116375
50,3,0,200094,200195,240233,200095,40039,100,320312,200095,40039,34200.004241176,45963.701114559,45969.414797508,49362.956244818,0.3786648826453312,0.4321506008955985,0.05348571825026727,0.21718787881219745,0.41909767821226723,0.20190979940006978,0.6528549595591353,0.6522062132794932,0.6829020113682853,0.09937065961483317,-4.602408447573166,-0.03069579808879208,0.846093973901472,0.8728993109900707,0.2116084578880276,0.255973029419376,0.0443645715313484,0.5567726928486422,0.552823758519961,0.3757802746566791,0.6591760299625468,0.2464487170718855,0.26584922168893804,-2.410242510732385,-2.3226141987474325,0.09324659046923044,0.10300991432700393
50,4,0,240133,240234,280272,240134,40039,100,320312,240134,40039,34200.004241176,49361.175802788,49362.956480514,52160.900748787,0.4047411283185712,0.3873538117543667,-0.017387316564204502,0.36789204235415424,0.3361827311529499,-0.03170931120120435,0.6497848953300827,0.6379625720555665,0.6654930767615611,1.8194210667994308,-2.4174433022945063,-0.027530504705994607,0.8366505956221781,0.8555802507543716,0.21770820059424204,0.241943082115837,0.024234881521594975,0.5878281558385379,0.5618460540189797,0.4094881398252185,0.8264669163545568,0.1917329622700164,0.07915150908837958,-2.1997446739369315,-2.4230934608568298,0.08017342891573863,0.03168183572710274
50,5,0,280172,280273,320311,280173,40039,100,320312,280173,40039,34200.004241176,52156.522052938,52160.918067995,55011.764845894,0.4117738102036769,0.4320875109818989,0.020313700778221977,0.31087465710488843,0.4278533104215165,0.11697865331662805,0.6107279585425623,0.5844655357223921,0.5737660793739707,4.300183486415573,6.052102028667106,0.010699456348421399,0.7612071603409921,0.7446491484596354,0.29975881863738535,0.3409647063189455,0.04120588768156014,0.6189117148165101,0.6311084785008482,0.4107365792759051,0.6941323345817728,0.3112908199611579,0.24129285738075124,-1.7775548535201215,-1.9385724609417985,0.14926176330640256,0.1106916355577559
