horizon,confidence_threshold,cost_fraction,sampled_observations_mean,sampled_observations_std,sampled_observations_min,sampled_observations_max,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_min,active_signal_fraction_max,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_min,mean_gross_return_active_bps_max,mean_full_estimated_cost_active_bps_mean,mean_full_estimated_cost_active_bps_std,mean_full_estimated_cost_active_bps_min,mean_full_estimated_cost_active_bps_max,mean_applied_cost_active_bps_mean,mean_applied_cost_active_bps_std,mean_applied_cost_active_bps_min,mean_applied_cost_active_bps_max,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_min,mean_net_return_active_bps_max,active_hit_rate_mean,active_hit_rate_std,active_hit_rate_min,active_hit_rate_max,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_min,break_even_cost_fraction_max,positive_net_fold,positive_gross_fold
10,0.05,0.0,4003.0,0.0,4003,4003,0.6853859605296029,0.10575141803179305,0.5855608293779665,0.8536097926555084,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,0.0,0.0,0.0,0.0,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,0.3969311883765479,0.01226906806561235,0.376060872110038,0.4065972222222222,0.028150018553559097,0.011832020558497188,0.0076292483421664,0.0366846140668926,5,5
10,0.05,0.25,4003.0,0.0,4003,4003,0.6853859605296029,0.10575141803179305,0.5855608293779665,0.8536097926555084,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,0.6315843121311719,0.07436570273966947,0.5304925164910197,0.733510426725819,-0.5629582564348448,0.09560454386634673,-0.7111258938975799,-0.4526488635596286,0.3969311883765479,0.01226906806561235,0.376060872110038,0.4065972222222222,0.028150018553559097,0.011832020558497188,0.0076292483421664,0.0366846140668926,0,5
10,0.05,0.5,4003.0,0.0,4003,4003,0.6853859605296029,0.10575141803179305,0.5855608293779665,0.8536097926555084,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,1.2631686242623439,0.14873140547933894,1.0609850329820394,1.467020853451638,-1.1945425685660167,0.16929305900656474,-1.4446363206233988,-0.9831413800506482,0.3969311883765479,0.01226906806561235,0.376060872110038,0.4065972222222222,0.028150018553559097,0.011832020558497188,0.0076292483421664,0.0366846140668926,0,5
10,0.05,0.75,4003.0,0.0,4003,4003,0.6853859605296029,0.10575141803179305,0.5855608293779665,0.8536097926555084,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,1.894752936393516,0.2230971082190086,1.5914775494730589,2.200531280177457,-1.8261268806971884,0.24339385024202642,-2.178146747349218,-1.513633896541668,0.3969311883765479,0.01226906806561235,0.376060872110038,0.4065972222222222,0.028150018553559097,0.011832020558497188,0.0076292483421664,0.0366846140668926,0,5
10,0.05,1.0,4003.0,0.0,4003,4003,0.6853859605296029,0.10575141803179305,0.5855608293779665,0.8536097926555084,0.06862605569632724,0.026092782065429376,0.0223845328282391,0.0844652816581353,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,2.5263372485246878,0.2974628109586779,2.1219700659640788,2.934041706903276,-2.4577111928283606,0.3176184949454383,-2.911657174075037,-2.044126413032688,0.3969311883765479,0.01226906806561235,0.376060872110038,0.4065972222222222,0.028150018553559097,0.011832020558497188,0.0076292483421664,0.0366846140668926,0,5
10,0.1,0.0,4003.0,0.0,4003,4003,0.4156382712965276,0.1506247382419309,0.2588058955783162,0.6522608043967024,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,0.0,0.0,0.0,0.0,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,0.4237936352147201,0.01796687154702017,0.3952508617387974,0.4401544401544401,0.0368308930159399,0.013858704511963641,0.0129843736069121,0.0474315890016814,5,5
10,0.1,0.25,4003.0,0.0,4003,4003,0.4156382712965276,0.1506247382419309,0.2588058955783162,0.6522608043967024,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,0.6096096450650679,0.07577402969937869,0.5193103882746909,0.7216142276746751,-0.5226931986427092,0.09885680510611564,-0.6841353927459098,-0.4315076607727495,0.4237936352147201,0.01796687154702017,0.3952508617387974,0.4401544401544401,0.0368308930159399,0.013858704511963641,0.0129843736069121,0.0474315890016814,0,5
10,0.1,0.5,4003.0,0.0,4003,4003,0.4156382712965276,0.1506247382419309,0.2588058955783162,0.6522608043967024,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,1.2192192901301357,0.15154805939875737,1.0386207765493818,1.4432284553493502,-1.1323028437077771,0.17374520729098544,-1.4057496204205848,-0.9508180490474404,0.4237936352147201,0.01796687154702017,0.3952508617387974,0.4401544401544401,0.0368308930159399,0.013858704511963641,0.0129843736069121,0.0474315890016814,0,5
10,0.1,0.75,4003.0,0.0,4003,4003,0.4156382712965276,0.1506247382419309,0.2588058955783162,0.6522608043967024,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,1.8288289351952034,0.22732208909813603,1.557931164824073,2.164842683024025,-1.741912488772845,0.24916968786582208,-2.12736384809526,-1.4701284373221313,0.4237936352147201,0.01796687154702017,0.3952508617387974,0.4401544401544401,0.0368308930159399,0.013858704511963641,0.0129843736069121,0.0474315890016814,0,5
10,0.1,1.0,4003.0,0.0,4003,4003,0.4156382712965276,0.1506247382419309,0.2588058955783162,0.6522608043967024,0.08691644642235856,0.02900596367566849,0.0374788349287652,0.1080105271960335,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,2.4384385802602715,0.30309611879751447,2.077241553098764,2.8864569106987004,-2.351522133837913,0.3247569503482244,-2.8489780757699346,-1.9894388255968225,0.4237936352147201,0.01796687154702017,0.3952508617387974,0.4401544401544401,0.0368308930159399,0.013858704511963641,0.0129843736069121,0.0474315890016814,0,5
