horizon,fold,feature_set,feature_count,balanced_accuracy,macro_f1,mae_bps,mae_improvement_pct,rank_ic,nonzero_directional_accuracy,active_signal_fraction,mean_gross_return_active_bps,mean_net_return_active_bps,break_even_cost_fraction
50,1,all_features,35,0.39328531869166206,0.37503047773993886,0.6791093280284725,0.48915059102372876,0.2003670649882575,0.5688991739095337,0.6429463171036205,0.14615461799424076,-2.7278133058160217,0.05085464482166913
50,2,all_features,35,0.41799532351257707,0.37571706819115674,0.6148714116432088,3.0118539946959695,0.2920776392445945,0.5988408478680852,0.682896379525593,0.17765189230641693,-2.558756953602677,0.06504391743116375
50,3,all_features,35,0.4321506008955985,0.41909767821226723,0.6829020113682853,-4.602408447573166,0.255973029419376,0.552823758519961,0.6591760299625468,0.26584922168893804,-2.3226141987474325,0.10300991432700393
50,4,all_features,35,0.3873538117543667,0.3361827311529499,0.6654930767615611,-2.4174433022945063,0.241943082115837,0.5618460540189797,0.8264669163545568,0.07915150908837958,-2.4230934608568298,0.03168183572710274
50,5,all_features,35,0.4320875109818989,0.4278533104215165,0.5737660793739707,6.052102028667106,0.3409647063189455,0.6311084785008482,0.6941323345817728,0.24129285738075124,-1.9385724609417985,0.1106916355577559
50,1,without_book_state,29,0.39040328843718747,0.36781893380474323,0.6811450940863919,0.19084691404488247,0.19629386274985067,0.5622796867852434,0.6479400749063671,0.14831637135631978,-2.717423369338415,0.051755003865202286
50,2,without_book_state,29,0.4276519995968653,0.40034295135855597,0.6226629923507122,1.7828312218662656,0.27720369728175664,0.5801746891241054,0.6679151061173533,0.20966427508283747,-2.5516515197771046,0.07607376604950211
50,3,without_book_state,29,0.416145992011888,0.40539099724614674,0.6647120626926615,-1.816192549342525,0.2578281461549986,0.5731905225576112,0.6978776529338327,0.2340805577572786,-2.3231700613166923,0.09179548681850229
50,4,without_book_state,29,0.3887996592523059,0.3441396057800948,0.6778745705787023,-4.3229190845303345,0.21699745138406507,0.5626841863357396,0.8214731585518102,0.06474151111634499,-2.4705005001405236,0.025577138348131738
50,5,without_book_state,29,0.43872428117649315,0.4414638543623554,0.5750815948947581,5.836700800937711,0.33602059940250306,0.6339893917772812,0.6704119850187266,0.2949871835095397,-1.8359060112477232,0.13843358467487274
50,1,without_event_flow,13,0.34828743448456273,0.2516974296623973,0.7338456065599531,-7.531433643869283,0.005264570686234688,0.5067405753033931,0.8976279650436954,0.009339858929602025,-2.925728967612875,0.0031821601064818683
50,2,without_event_flow,13,0.37829894072443454,0.2767042920239653,0.6908854567822158,-8.97839497247149,-0.01364390144827818,0.4598786427580202,0.7515605493133583,-0.047905776523194755,-2.7229166940391187,-0.017941832639978592
50,3,without_event_flow,13,0.36520868181512167,0.3527732995854223,0.6649657785013554,-1.8550550570065956,0.05239291677364132,0.5020826571459482,0.5692883895131086,0.07954054400030121,-2.5162845556262177,0.030641719279062875
50,4,without_event_flow,13,0.3467317305863904,0.23231693418567534,0.732117632419077,-12.670768077360487,0.11507410426433363,0.4761673020250358,0.9937578027465668,-0.03355639040049772,-2.540584603921319,-0.013403147380055531
50,5,without_event_flow,13,0.3452488496640509,0.28889479514086375,0.617729514175311,-1.1464278873783829,0.08169268454072745,0.5234915591933443,0.7191011235955056,0.04482053879869799,-2.181940228637797,0.020173284945906315
50,1,without_volatility,32,0.3864655840822384,0.3701835870023337,0.6814499636256292,0.1461739496836123,0.18604464097308265,0.5620644189112828,0.6254681647940075,0.17530947476966607,-2.686782581391693,0.06136720055447046
50,2,without_volatility,32,0.40140973233548066,0.3605206198491137,0.6252950075446434,1.367664295768708,0.26335262590645203,0.5842562107153547,0.731585518102372,0.10987424689082001,-2.6042032034481175,0.04055605966503125
50,3,without_volatility,32,0.43746817594678616,0.42265971630752386,0.6860247697321862,-5.08073189724254,0.25667316577912125,0.5465757870821162,0.6754057428214731,0.25028522903603406,-2.358962598037216,0.09620016603964769
50,4,without_volatility,32,0.384526071658675,0.3322049254931652,0.6692301746722488,-2.9925717698144014,0.22959472860163416,0.5663611539189445,0.8264669163545568,0.07304525273844918,-2.429316876495829,0.029236434173881328
50,5,without_volatility,32,0.4341428125530428,0.431265238843291,0.5769615465697605,5.528879348078611,0.3323758068514566,0.6317546646563097,0.6941323345817728,0.2397474029590187,-1.9558787499388006,0.10919318056154345
50,1,without_time,31,0.41583880166179615,0.4077460329008023,0.6784440284070645,0.5866378846086552,0.2000383547988316,0.5640556467454189,0.5830212234706617,0.2065965582553992,-2.703071884735866,0.07114499851902538
50,2,without_time,31,0.4461210921552395,0.4224204990966998,0.6040353783567952,4.721100446230228,0.2968476486640938,0.62594215123398,0.5917602996254682,0.293738820088079,-2.4290039630483022,0.10810845115802897
50,3,without_time,31,0.4501591790808444,0.4248669074093117,0.6313339934422414,3.2964390944394064,0.2897998175237058,0.6088391214973493,0.5980024968789014,0.3012883400273379,-2.3249947338909167,0.1150902594087715
50,4,without_time,31,0.43487449805183687,0.4188161042881253,0.6313849880137189,2.8316920643433603,0.24784379983656016,0.5980749993240868,0.6192259675405742,0.2599459688433682,-2.229625831591835,0.10441392724561185
50,5,without_time,31,0.44730472806185767,0.43087298378751776,0.5733527668961128,6.119777410492468,0.3424697345674247,0.6280660186855497,0.6604244694132334,0.29209843835070926,-1.8928884406376452,0.13382371114626757
