horizon,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,purge_events,development_end_exclusive,train_rows_after_target_filter,validation_rows_after_target_filter,train_time_start_seconds,train_time_end_seconds,validation_time_start_seconds,validation_time_end_seconds,logistic_balanced_accuracy,lightgbm_balanced_accuracy,lightgbm_balanced_accuracy_delta,logistic_macro_f1,lightgbm_macro_f1,lightgbm_macro_f1_delta,zero_mae_bps,ridge_mae_bps,lightgbm_mae_bps,ridge_mae_improvement_pct,lightgbm_mae_improvement_pct,lightgbm_mae_delta_vs_ridge_bps,ridge_rmse_bps,lightgbm_rmse_bps,ridge_rank_ic,lightgbm_rank_ic,lightgbm_rank_ic_delta,ridge_nonzero_directional_accuracy,lightgbm_nonzero_directional_accuracy,logistic_active_signal_fraction,lightgbm_active_signal_fraction,logistic_mean_gross_active_bps,lightgbm_mean_gross_active_bps,logistic_mean_net_active_bps,lightgbm_mean_net_active_bps,logistic_break_even_cost_fraction,lightgbm_break_even_cost_fraction
100,1,0,120016,120117,160155,120017,40039,100,320312,120017,40039,34200.004241176,40503.071225279,40504.816458975,43228.641331124,0.35458816682378114,0.3637943919414368,0.009206225117655675,0.2463674974495709,0.35052542777025253,0.10415793032068163,0.9968217841554828,1.1703412774088569,1.0080903211374488,-17.407273397459047,-1.1304465011780178,0.16225095627140806,1.4901086764236908,1.271928967648669,0.023711403628272208,0.12132630004159127,0.09761489641331907,0.5116194813933026,0.5352466228456084,0.9027431421446384,0.5985037406483791,0.038617197710564766,0.09653131894295693,-2.9266795823724108,-2.869306534196941,0.01306177837746371,0.032667658896813966
100,2,0,160055,160156,200194,160056,40039,100,320312,160056,40039,34200.004241176,43223.952170632,43228.641331124,45969.413604707,0.25225947639585294,0.33638017966429407,0.08412070326844112,0.07715850153943504,0.2745502089378912,0.19739170739845618,0.9856564234137074,0.9966758821798296,1.0323303109714768,-1.1179817332248063,-4.735310037966347,-0.03565442879164715,1.234979263385861,1.2744230717283271,0.20707707944643636,0.22386916735533532,0.016792087908898967,0.5137937275383303,0.5206711999379476,0.5610972568578554,0.8054862842892768,0.15010679146052477,0.0521637810823668,-2.586691867037661,-2.643797072103919,0.054978981709533546,0.019382893915996867
100,3,0,200094,200195,240233,200095,40039,100,320312,200095,40039,34200.004241176,45963.701114559,45969.414797508,49362.956244818,0.3766468330023894,0.38299960969566965,0.006352776693280271,0.32730915285723633,0.3816645114576011,0.05435535860036478,0.9986307293070639,1.0113236661918092,1.0081148262138293,-1.271034078187523,-0.9497101008844704,0.003208839977979938,1.265162629364258,1.2650623587196876,0.13859170872296805,0.21443159224901956,0.0758398835260515,0.5275698280757912,0.5556043161753317,0.3167082294264339,0.6408977556109726,0.4104878201451854,0.3389907022019996,-2.1077359592671208,-2.2280728126015563,0.16300688743435804,0.13307487239126395
100,4,0,240133,240234,280272,240134,40039,100,320312,240134,40039,34200.004241176,49361.175802788,49362.956480514,52160.900748787,0.3770930324964612,0.34805595222427543,-0.029037080272185767,0.3729230798873429,0.2548824024906511,-0.11804067739669183,0.9689127773008694,0.9586546203808461,1.0686802895154925,1.0587286245310714,-10.296851744751326,-0.1100256691346464,1.2136822628117576,1.340285278863253,0.18089182354024821,0.209287699500406,0.028395875960157774,0.5598479559382515,0.5216817934993406,0.32917705735660846,0.8977556109725686,0.26762948719793,-0.026442301524388773,-2.0650712688389206,-2.4873067121173573,0.1147294553342624,-0.010776430897191602
100,5,0,280172,280273,320311,280173,40039,100,320312,280173,40039,34200.004241176,52156.522052938,52160.918067995,55011.764845894,0.38802254816097587,0.4192198769188638,0.031197328757887943,0.25268706013036557,0.4165934703883039,0.16390641025793834,0.9778773509282971,0.9460159636506789,0.9336524799679949,3.25821916699188,4.522537608455657,0.012363483682683918,1.18056244910269,1.1576994539484142,0.2697887293243849,0.2866426996430022,0.016853970318617295,0.5888555375971677,0.5925498345262834,0.4089775561097257,0.6034912718204489,0.3943042802849901,0.4356445161753866,-1.6715573130764827,-1.680073304389139,0.19215660719973326,0.2059086102792034
