horizon,fold,series,max_lag,effective_lag,observations,q_statistic,p_value,reject_at_5pct
50,1,non_overlapping_ridge_residual_bps,5,5,801,5.144315676359943,0.3985229686167212,0
50,1,non_overlapping_ridge_residual_bps,10,10,801,9.47150434405155,0.4880151323238602,0
50,1,non_overlapping_ridge_residual_bps,20,20,801,23.221657953313827,0.2780421947482244,0
50,2,non_overlapping_ridge_residual_bps,5,5,801,15.212665743905198,0.009491269155518853,1
50,2,non_overlapping_ridge_residual_bps,10,10,801,19.92563777811687,0.0299639270397975,1
50,2,non_overlapping_ridge_residual_bps,20,20,801,33.923017942507286,0.026650179211028007,1
50,3,non_overlapping_ridge_residual_bps,5,5,801,1.9997852741661244,0.8491747467215723,0
50,3,non_overlapping_ridge_residual_bps,10,10,801,5.9899286499669095,0.8161086844751775,0
50,3,non_overlapping_ridge_residual_bps,20,20,801,18.85891476830811,0.5310130235381887,0
50,4,non_overlapping_ridge_residual_bps,5,5,801,10.954902436064186,0.05228150339611121,0
50,4,non_overlapping_ridge_residual_bps,10,10,801,18.62094530487789,0.04534992567463052,1
50,4,non_overlapping_ridge_residual_bps,20,20,801,31.688134397870556,0.04673688279825515,1
50,5,non_overlapping_ridge_residual_bps,5,5,801,6.467387629569893,0.2633573689370999,0
50,5,non_overlapping_ridge_residual_bps,10,10,801,12.316395284712975,0.26443926413748264,0
50,5,non_overlapping_ridge_residual_bps,20,20,801,19.27400257168683,0.5040850503944062,0
