horizon,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,purge_events,development_end_exclusive,train_rows_after_target_filter,validation_rows_after_target_filter,train_time_start_seconds,train_time_end_seconds,validation_time_start_seconds,validation_time_end_seconds,logistic_balanced_accuracy,lightgbm_balanced_accuracy,lightgbm_balanced_accuracy_delta,logistic_macro_f1,lightgbm_macro_f1,lightgbm_macro_f1_delta,zero_mae_bps,ridge_mae_bps,lightgbm_mae_bps,ridge_mae_improvement_pct,lightgbm_mae_improvement_pct,lightgbm_mae_delta_vs_ridge_bps,ridge_rmse_bps,lightgbm_rmse_bps,ridge_rank_ic,lightgbm_rank_ic,lightgbm_rank_ic_delta,ridge_nonzero_directional_accuracy,lightgbm_nonzero_directional_accuracy,logistic_active_signal_fraction,lightgbm_active_signal_fraction,logistic_mean_gross_active_bps,lightgbm_mean_gross_active_bps,logistic_mean_net_active_bps,lightgbm_mean_net_active_bps,logistic_break_even_cost_fraction,lightgbm_break_even_cost_fraction
10,1,0,120016,120117,160155,120017,40039,100,320312,120017,40039,34200.004241176,40503.071225279,40504.816458975,43228.641331124,0.3649623324297256,0.43337000673772,0.06840767430799444,0.29138364825636603,0.432533107269605,0.14114945901323894,0.26946916918143926,0.2883742977606093,0.26907645001478897,-7.015692606541128,0.1457380700891479,0.01929784774582033,0.4420739164913992,0.4346131590543846,0.1285439394215576,0.18994369716220916,0.06139975774065157,0.5508900214196026,0.5896299578994018,0.6523476523476524,0.5237262737262737,0.037529919760696126,0.11216447535704575,-2.8489780757699346,-2.704069048861479,0.013007051445648432,0.03982783188697756
10,2,0,160055,160156,200194,160056,40039,100,320312,160056,40039,34200.004241176,43223.952170632,43228.641331124,45969.413604707,0.36956517659387417,0.44372971593588534,0.07416453934201117,0.30309798331371646,0.43906557423737175,0.1359675909236553,0.21929373890140505,0.23359237881171735,0.21825610090925557,-6.520313795525643,0.47317264840653106,0.015336277902461781,0.3741705919987846,0.37021848509269206,0.20199073127666034,0.24449097150375917,0.042500240227098834,0.6019355388813097,0.6267905866302865,0.3558941058941059,0.6456043956043956,0.0936233097797194,0.10308457881497843,-2.43339151469089,-2.5740617681460924,0.037048975286218505,0.038505395467824756
10,3,0,200094,200195,240233,200095,40039,100,320312,200095,40039,34200.004241176,45963.701114559,45969.414797508,49362.956244818,0.35392330517071713,0.45681703273010305,0.10289372755938592,0.2515561222311448,0.4581014159255558,0.206545293694411,0.2194065433951726,0.23235157617710145,0.2181970042036149,-5.900021294539782,0.5512776295733339,0.014154571973486546,0.37626396559730607,0.3752805753438451,0.23083554563786196,0.25356907560763264,0.022733529969770683,0.6164601617621752,0.6265702977112373,0.25899100899100896,0.5914085914085914,0.10798916107487964,0.11638206142980174,-2.323529685293098,-2.4330352686430006,0.04445470289228332,0.04566951029599102
10,4,0,240133,240234,280272,240134,40039,100,320312,240134,40039,34200.004241176,49361.175802788,49362.956480514,52160.900748787,0.36341328976253223,0.41344310823599684,0.050029818473464605,0.2755337365483541,0.40631540502518354,0.13078166847682943,0.23787343160487115,0.24988362263282535,0.23669107565027014,-5.048983800723147,0.49705254875416416,0.013192546982555203,0.4019966056596566,0.4024267596635718,0.20060352411976393,0.20165009787892715,0.0010465737591632274,0.6074984634296251,0.5936078672403196,0.3489010989010989,0.5974025974025974,0.1076668327053333,0.0980836895470629,-2.1622725678388184,-2.317366814280766,0.0474315890016814,0.04062308252088021
10,5,0,280172,280273,320311,280173,40039,100,320312,280173,40039,34200.004241176,52156.522052938,52160.918067995,55011.764845894,0.3759777187459576,0.4416009153667379,0.06562319662078031,0.3429536422524913,0.43872917923565735,0.09577553698316604,0.2041631076680185,0.21465847592254633,0.20218165844950065,-5.140678144258031,0.9705226576683101,0.012476817473045687,0.33777570013720404,0.3391456353196534,0.22890076995325725,0.25540090859987524,0.026500138646617988,0.6293193717277487,0.6121465968586387,0.46228771228771226,0.6278721278721279,0.08849943616796872,0.10453140120643574,-1.9894388255968223,-2.04508612892755,0.04262733603077622,0.04862790693743566
