horizon,model,feature,mean,std,min,max
10,lightgbm_classifier,trade_pressure_20,0.11626634983679338,0.004864574973643861,0.1103694312499835,0.1233593713144828
10,lightgbm_classifier,rolling_volatility_20,0.10438391469495789,0.006241401237667296,0.0943260104972439,0.1102020088510013
10,lightgbm_classifier,trade_pressure_50,0.06721928554910919,0.014931678332275093,0.0467599335330069,0.085166207880704
10,lightgbm_classifier,spread_bps,0.06511968358409702,0.0038060722807451235,0.059148047739075,0.0694442377925311
10,lightgbm_classifier,seconds_from_open,0.05808128735092738,0.01103444372343066,0.0451781235220525,0.0719606006643829
10,lightgbm_classifier,rolling_volatility_50,0.047527668230838496,0.0024167434770277223,0.0448419869204701,0.0503743262665267
10,lightgbm_classifier,is_visible_execution,0.04378091596914542,0.006676334789056597,0.0347059293608451,0.0507892863057031
10,lightgbm_classifier,ofi_l1,0.03979347607397884,0.0049277208939692745,0.0335291949228344,0.0463495516816501
10,lightgbm_classifier,event_intensity_20,0.03877421833953612,0.005733284851980566,0.0324144503964168,0.0432910340167509
10,lightgbm_classifier,queue_imbalance_l1,0.03704747246897392,0.0014220388043902608,0.034788000937856,0.0386412743030909
10,lightgbm_classifier,time_cos,0.03689633512264252,0.0089343295726176,0.0263773982829562,0.0488398198254008
10,lightgbm_classifier,microprice_deviation_bps,0.034833724671644486,0.0024946138183016657,0.0322123790759863,0.0387481667843245
10,lightgbm_classifier,ofi_l1_sum_100,0.0267930957501475,0.007885077894048416,0.021348275217597,0.0399750551145964
10,lightgbm_classifier,rolling_volatility_100,0.025932979903237997,0.006023861581879959,0.0206682257339477,0.0349044428187372
10,lightgbm_classifier,ofi_l1_sum_20,0.02339219363331462,0.0009633864406744639,0.0224832489653244,0.0249659870563322
10,lightgbm_classifier,time_sin,0.02208527745645104,0.009145974246767162,0.0077002411951089,0.0305112278699594
10,lightgbm_classifier,event_intensity_50,0.01892643833862878,0.0048435776088259054,0.0137988058898882,0.024939760979658
10,lightgbm_classifier,ofi_l1_sum_50,0.01811604303858336,0.002869863632748516,0.0152305617955673,0.021411170341249
10,lightgbm_classifier,event_interarrival_us,0.016219163803132642,0.001297914216331323,0.0145611812850079,0.0180821394294448
10,lightgbm_classifier,event_intensity_100,0.0159138382223722,0.004852469027002091,0.0116800570862263,0.022463742675357
10,lightgbm_classifier,depth_imbalance_5,0.015276880757329919,0.00406942734671765,0.0111424626953267,0.0196129143340253
10,lightgbm_classifier,trade_pressure_100,0.01506811023750242,0.0022143583656963808,0.0123460935687211,0.0183363988052507
10,lightgbm_classifier,add_pressure_20,0.0146642727334105,0.0016999061815494874,0.013332872689798,0.0173956457102228
10,lightgbm_classifier,is_hidden_execution,0.012827814048010821,0.002284684323660634,0.0094534505714281,0.0147428242075967
10,lightgbm_classifier,depth_imbalance_10,0.01150648640887482,0.0023682115608112363,0.0081037569048107,0.0142943409949949
10,lightgbm_classifier,session_fraction,0.01001435031393864,0.000688575865005558,0.009090895613887,0.0109440846718798
10,lightgbm_classifier,is_deletion,0.009577286142305061,0.001303934462645362,0.0078511481483562,0.011246011792879
10,lightgbm_classifier,add_pressure_50,0.009336271856205119,0.004234775453041163,0.0047703066550015,0.014343576091244
10,lightgbm_classifier,add_pressure_100,0.00925851928428536,0.002221956901304422,0.0075117519405193,0.0126122660063045
10,lightgbm_classifier,depth_imbalance_1,0.00891654906743014,0.0006939352131801067,0.0081145525170598,0.0094893035526214
10,lightgbm_classifier,cancel_pressure_50,0.00826542376931958,0.0026644096380490367,0.0055530215873156,0.0118639667831178
10,lightgbm_classifier,cancel_pressure_100,0.0082043295841428,0.0031600410724119394,0.0047661696511421,0.0128384253805213
10,lightgbm_classifier,cancel_pressure_20,0.00736549159151764,0.001360692722947183,0.0062837263527344,0.009485204253227
10,lightgbm_classifier,is_submission,0.0026148521672127198,0.0004986035470761082,0.0020101875813146,0.0033270317412196
10,lightgbm_classifier,is_partial_cancel,0.0,0.0,0.0,0.0
10,lightgbm_regressor,rolling_volatility_100,0.0945930103636287,0.06166147839343311,0.0462634857848964,0.197534593207552
10,lightgbm_regressor,trade_pressure_50,0.0945404538805857,0.03455581607471295,0.0474922732318283,0.1412080474791149
10,lightgbm_regressor,trade_pressure_20,0.07258785480067695,0.01517318783882609,0.0546898817525834,0.0948987449926773
10,lightgbm_regressor,is_visible_execution,0.055302836931927425,0.008382591287151894,0.0486291709841509,0.0699051674872809
10,lightgbm_regressor,ofi_l1,0.05263395745661222,0.007656268388086324,0.0430112287224343,0.0604367371943245
10,lightgbm_regressor,queue_imbalance_l1,0.051795428135704924,0.02029821243326617,0.0361904933788038,0.0787702976643551
10,lightgbm_regressor,rolling_volatility_20,0.045672120005362485,0.005891678993352733,0.0396479045585302,0.0524026918902562
10,lightgbm_regressor,spread_bps,0.04361170375610464,0.00790744114634931,0.0350784040391074,0.0537042089615528
10,lightgbm_regressor,microprice_deviation_bps,0.04241232568260982,0.00764507535587681,0.0329057184817992,0.0505402642054641
10,lightgbm_regressor,rolling_volatility_50,0.034186429481524984,0.007490373490927366,0.0277130827494636,0.0432918101454843
10,lightgbm_regressor,seconds_from_open,0.033282472323517845,0.003038880773461054,0.0288525331496545,0.0362406124345541
10,lightgbm_regressor,trade_pressure_100,0.029448291914631296,0.005984147715303188,0.0227162057153321,0.0359197195332869
10,lightgbm_regressor,ofi_l1_sum_20,0.029254595669599242,0.014766756570735189,0.0134239398520547,0.0496852971851105
10,lightgbm_regressor,ofi_l1_sum_100,0.028701557132273504,0.004746416003942103,0.0217440675723068,0.0334014499730624
10,lightgbm_regressor,time_cos,0.0275539832399876,0.015839459093434167,0.0141489000262259,0.0546682157990493
10,lightgbm_regressor,ofi_l1_sum_50,0.02627001064251768,0.004178347160305976,0.0227591863373611,0.0331935335478114
10,lightgbm_regressor,event_intensity_100,0.0214102995894731,0.004356122575454116,0.0166131519606588,0.0267166693059701
10,lightgbm_regressor,event_intensity_50,0.02056053549045064,0.0006658552113780321,0.0198674692486856,0.0215167165750405
10,lightgbm_regressor,event_intensity_20,0.019009229563362078,0.004463029229918875,0.0160557374414994,0.026559844843993
10,lightgbm_regressor,depth_imbalance_5,0.018945181841516102,0.0029705907539838696,0.0137434567493317,0.0210947998238938
10,lightgbm_regressor,depth_imbalance_10,0.018292893158233882,0.00665786201395997,0.0083439093916689,0.0246662809277136
10,lightgbm_regressor,add_pressure_100,0.018092283820662462,0.005299875580922393,0.013005998537666,0.0266761237328598
10,lightgbm_regressor,cancel_pressure_100,0.01791919092256916,0.005724058230542139,0.0104615958895251,0.0239503788783312
10,lightgbm_regressor,time_sin,0.016279385872023662,0.006573830875136584,0.0075111214532395,0.0248577889971582
10,lightgbm_regressor,add_pressure_20,0.013282296341248062,0.004089291169775118,0.0088469212390128,0.017899254133749
10,lightgbm_regressor,add_pressure_50,0.013041298359138101,0.0026324121647584857,0.0097882532351017,0.0167602007552077
10,lightgbm_regressor,cancel_pressure_50,0.01279325662339934,0.0009356096651800689,0.0114663279441529,0.0140648020748123
10,lightgbm_regressor,depth_imbalance_1,0.0116251921106063,0.004492208809060937,0.0072175859009707,0.0191403405666839
10,lightgbm_regressor,cancel_pressure_20,0.009711385891295,0.003661765033027291,0.005222090303705,0.014052801097007
10,lightgbm_regressor,is_hidden_execution,0.00945898484891838,0.002384394056461494,0.0071405013950053,0.0121935033427217
10,lightgbm_regressor,session_fraction,0.00677851297559338,0.0014913450735921606,0.0051580739528674,0.0084604106725654
10,lightgbm_regressor,event_interarrival_us,0.00646300816006386,0.0009615229404229972,0.005119748034682,0.0074488224327822
10,lightgbm_regressor,is_deletion,0.0033513561531626802,0.0006590642295118073,0.0025231389763688,0.0042622893216303
10,lightgbm_regressor,is_submission,0.0011386768610174,0.0005031463776910683,0.0007269487346269,0.001939454144741
10,lightgbm_regressor,is_partial_cancel,0.0,0.0,0.0,0.0
50,lightgbm_classifier,spread_bps,0.08148082595949484,0.004170480251785861,0.0786031264429386,0.0888353442872856
50,lightgbm_classifier,rolling_volatility_50,0.08052179828160103,0.019171852683440956,0.0508094865467254,0.1005984456815075
50,lightgbm_classifier,trade_pressure_50,0.07341588718905728,0.00791441050157629,0.0630928355301306,0.0805077940417207
50,lightgbm_classifier,trade_pressure_20,0.06792020570565172,0.007130784243678455,0.0597078848161822,0.0761634287719222
50,lightgbm_classifier,rolling_volatility_100,0.05511117901821446,0.007442884302324027,0.0460417606153159,0.0625440992501669
50,lightgbm_classifier,seconds_from_open,0.05185199055881236,0.010618449754952295,0.0427819129283105,0.0701910871444099
50,lightgbm_classifier,time_sin,0.04400825764678936,0.017710131822911795,0.0132304486059839,0.0574094584910699
