horizon,fold,model,feature,normalized_gain_importance
100,1,lightgbm_classifier,spread_bps,0.0696511601071013
100,1,lightgbm_classifier,queue_imbalance_l1,0.04077680077778806
100,1,lightgbm_classifier,microprice_deviation_bps,0.03318901845992811
100,1,lightgbm_classifier,depth_imbalance_1,0.00807713595681441
100,1,lightgbm_classifier,depth_imbalance_5,0.029990499933225192
100,1,lightgbm_classifier,depth_imbalance_10,0.03656183293369263
100,1,lightgbm_classifier,ofi_l1,0.00032658406260478614
100,1,lightgbm_classifier,event_interarrival_us,0.0007143306779384518
100,1,lightgbm_classifier,is_submission,0.0
100,1,lightgbm_classifier,is_partial_cancel,0.0
100,1,lightgbm_classifier,is_deletion,3.380354176322257e-05
100,1,lightgbm_classifier,is_visible_execution,0.0
100,1,lightgbm_classifier,is_hidden_execution,0.0
100,1,lightgbm_classifier,seconds_from_open,0.07576107970470847
100,1,lightgbm_classifier,session_fraction,0.015129211805352349
100,1,lightgbm_classifier,time_sin,0.017242189441283536
100,1,lightgbm_classifier,time_cos,0.04508962804476874
100,1,lightgbm_classifier,event_intensity_20,0.020397519169515117
100,1,lightgbm_classifier,ofi_l1_sum_20,0.017211793591759516
100,1,lightgbm_classifier,add_pressure_20,0.02893633730797941
100,1,lightgbm_classifier,cancel_pressure_20,0.015592030933691693
100,1,lightgbm_classifier,trade_pressure_20,0.026790469628351406
100,1,lightgbm_classifier,rolling_volatility_20,0.028594338436430274
100,1,lightgbm_classifier,event_intensity_50,0.025346761509928616
100,1,lightgbm_classifier,ofi_l1_sum_50,0.03336290848055454
100,1,lightgbm_classifier,add_pressure_50,0.0928381886083684
100,1,lightgbm_classifier,cancel_pressure_50,0.015720351114142505
100,1,lightgbm_classifier,trade_pressure_50,0.05067615611018869
100,1,lightgbm_classifier,rolling_volatility_50,0.04944065602052223
100,1,lightgbm_classifier,event_intensity_100,0.042275953486326526
100,1,lightgbm_classifier,ofi_l1_sum_100,0.04759540217892937
100,1,lightgbm_classifier,add_pressure_100,0.023968936201899386
100,1,lightgbm_classifier,cancel_pressure_100,0.027473762431552973
100,1,lightgbm_classifier,trade_pressure_100,0.03395082429191535
100,1,lightgbm_classifier,rolling_volatility_100,0.04728433505097475
100,1,lightgbm_regressor,spread_bps,0.05193996068210775
100,1,lightgbm_regressor,queue_imbalance_l1,0.01665728105755533
100,1,lightgbm_regressor,microprice_deviation_bps,0.011953942143106555
100,1,lightgbm_regressor,depth_imbalance_1,0.002296128737826122
100,1,lightgbm_regressor,depth_imbalance_5,0.02490331056248332
100,1,lightgbm_regressor,depth_imbalance_10,0.028768833850511225
100,1,lightgbm_regressor,ofi_l1,0.0
100,1,lightgbm_regressor,event_interarrival_us,0.0
100,1,lightgbm_regressor,is_submission,0.0
100,1,lightgbm_regressor,is_partial_cancel,0.0
