horizon,fold,regime_type,regime_label,validation_fraction,validation_observations,zero_mae_bps,ridge_mae_bps,ridge_mae_improvement_pct,ridge_rmse_bps,ridge_rank_ic,ridge_nonzero_directional_accuracy,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
50,1,spread,one_tick,0.001498538924548565,60,1.1538811840661929,1.59798172118581,-38.48754475349354,1.8907955464922632,-0.2907021110237923,0.3448275862068966,1,1.0,0.5127723034581422,0.5127942158680558,0.5127942158680558,-2.1912409913671382e-05,0.5127723034581422,0.5127942158680558,0.5127942158680558,-2.1912409913671382e-05,1.0,0.4916502852120744,0.9999572686094429,0.0,1
50,1,spread,three_plus_ticks,0.9931566722445615,39765,0.6800031203681949,0.7236192491201033,-6.414107148257209,0.9482275201446045,0.09419079001526984,0.5216024285791727,591,0.7433962264150943,41.66260146274525,1695.6716009040797,1695.6716009040797,-1654.0089994413343,0.07049509553764002,2.869156685116886,2.869156685116886,-2.798661589579246,0.505922165820643,0.26225885160831336,0.024569970647932086,-1654.0089994413374,795
50,1,spread,two_ticks,0.0053447888308898826,214,1.00448348599145,1.1541133143176383,-14.896195946765614,1.458783105751332,-0.11215083918106988,0.4597156398104265,4,1.0,-3.2466810679676605,7.348755556735528,7.348755556735528,-10.595436624703186,-0.8116702669919151,1.837188889183882,1.837188889183882,-2.6488591561757966,0.25,0.35246194922314744,-0.4418001174351083,-7.00842597903397,4
50,1,depth,high,0.283548540173331,11353,0.6677123450292205,0.7105544428957696,-6.4162506782279545,0.9345130615815712,0.07219073862968416,0.5100856327307326,172,0.7510917030567685,7.606863812038567,509.0174396721226,509.0174396721226,-501.41057586008395,0.04422595239557306,2.959403719023969,2.959403719023969,-2.9151777666283953,0.4941860465116279,0.2534484432440039,0.014944210589205816,-501.410575860084,229
50,1,depth,low,0.2082719348635081,8339,0.7132950850824762,0.7369629741290259,-3.318106284696054,0.969733363196282,0.18571739750520583,0.5428681771369722,118,0.7023809523809523,16.915579305291082,344.0859447869014,344.0859447869014,-327.17036548161036,0.14335236699399226,2.9159825829398422,2.9159825829398422,-2.77263021594585,0.5169491525423728,0.26924067152778414,0.04916091331707026,-323.9253589488988,168
50,1,depth,medium,0.5081795249631609,20347,0.6780267582871139,0.7325463096445871,-8.040914416888931,0.9578381681526255,0.05764237781581974,0.5180301826846704,306,0.7593052109181141,14.406249580906081,850.4297662176591,850.4297662176591,-836.023516636753,0.04707924699642512,2.7791822425413697,2.7791822425413697,-2.732102995544945,0.5065359477124183,0.26644754217114597,0.016939963949026384,-836.0235166367529,403
50,1,volatility,high,0.2133669672069732,8543,0.738136124343654,0.777647097000037,-5.352803006561403,1.0092728483360303,-0.004495962624767923,0.5510889856876167,133,0.7556818181818182,6.152156326765246,360.46170907560827,360.46170907560827,-354.3095527488431,0.04625681448695673,2.7102384141023177,2.7102384141023177,-2.663981599615361,0.518796992481203,0.2719076538511134,0.017067433715892432,-351.0645462161316,176
50,1,volatility,low,0.42805764379729766,17139,0.620985871316601,0.6675762643956932,-7.502649453249593,0.8899211327989527,0.16432645827568912,0.5160917325110811,251,0.7212643678160919,33.13657477162391,730.6601239163385,730.6601239163385,-697.5235491447145,0.13201822618176856,2.9109965096268464,2.9109965096268464,-2.7789782834450776,0.5099601593625498,0.2657888428398146,0.04535155770375405,-697.5235491447145,348
50,1,volatility,medium,0.35857538899572916,14357,0.7226818039788503,0.7684439540744535,-6.332268204851952,0.9927108693312361,0.06894637054310424,0.5087382936361625,212,0.7681159420289855,-0.36003840015341737,612.4113176847364,612.4113176847364,-612.7713560848898,-0.0016982943403463084,2.888732630588379,2.888732630588379,-2.8904309249287254,0.49056603773584906,0.2548101974888033,-0.0005879029171351169,-612.7713560848897,276
50,2,spread,one_tick,0.002972102200354654,119,0.9728574985286907,1.026952270193076,-5.560400340871705,1.1404778607806432,0.1260705398410482,0.47058823529411764,2,0.5,1.7989470980206423,1.969848354926885,1.969848354926885,-0.17090125690624258,0.8994735490103212,0.9849241774634425,0.9849241774634425,-0.08545062845312129,1.0,0.31619829253370957,0.9132414145084858,0.0,4
