horizon,fold,regime_type,regime_label,validation_fraction,validation_observations,zero_mae_bps,ridge_mae_bps,ridge_mae_improvement_pct,ridge_rmse_bps,ridge_rank_ic,ridge_nonzero_directional_accuracy,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
10,1,spread,one_tick,0.001498538924548565,60,0.4671722927353701,0.546844408421662,-17.05411834674499,0.779864321139171,-0.023173618993176746,0.41509433962264153,4,1.0,0.512281723943353,1.538118724681659,1.538118724681659,-1.025837000738306,0.12807043098583826,0.38452968117041475,0.38452968117041475,-0.2564592501845765,0.25,0.26948489194490505,0.3330573353818177,-0.8549684027209481,4
10,1,spread,three_plus_ticks,0.9931566722445615,39765,0.26758815651676093,0.2862156597511773,-6.961258479034961,0.4379072104691771,0.1322376720344808,0.5516830503425678,2586,0.6508935313365215,102.56223184340163,7516.285598707066,7516.285598707066,-7413.7233668636645,0.03966056915831463,2.906529620536375,2.906529620536375,-2.866869051378061,0.39443155452436196,0.1921762778217817,0.013645334586679908,-7413.723366863653,3973
10,1,spread,two_ticks,0.0053447888308898826,214,0.5635639411333063,0.6170193155428638,-9.485236813068756,0.8723681107271901,-0.09910594843344465,0.46745562130177515,21,0.8076923076923077,-5.217275568338842,18.715276402558548,18.715276402558548,-23.93255197089739,-0.24844169373042102,0.8912036382170737,0.8912036382170737,-1.1396453319474948,0.5238095238095238,0.28490757051403337,-0.2787709599429476,-23.59101100266428,26
10,1,depth,high,0.283548540173331,11353,0.28331768810434643,0.2977036345968945,-5.077673260996564,0.45024720194232326,0.08310371302080835,0.542238713667285,800,0.7079646017699115,14.164617680391123,2384.8223968089296,2384.8223968089296,-2370.6577791285386,0.017705772100488903,2.981027996011162,2.981027996011162,-2.9633222239106733,0.41875,0.19041640334004203,0.005939485346726212,-2367.070533616495,1130
10,1,depth,low,0.2082719348635081,8339,0.26704290464504854,0.2859469959432699,-7.079046463843901,0.44750375782212537,0.1897293348651546,0.5686203130688023,533,0.6421686746987951,36.91105487036328,1617.957990780952,1617.957990780952,-1581.0469359105891,0.06925151007572848,3.0355684630036626,3.0355684630036626,-2.966316952927934,0.3921200750469043,0.19535909747549532,0.02281335799858879,-1581.0469359105887,830
10,1,depth,medium,0.5081795249631609,20347,0.2627365002197839,0.2841636184836864,-8.155364118033964,0.4351785110396657,0.1270760200597453,0.548855470775613,1278,0.6255506607929515,46.78156544825174,3533.7586062444248,3533.7586062444248,-3486.977040796173,0.03660529377797476,2.7650693319596438,2.7650693319596438,-2.728464038181669,0.38184663536776214,0.19371622172866135,0.013238472306960949,-3486.9770407961687,2043
10,1,volatility,high,0.2133669672069732,8543,0.32269898767436844,0.3442872585456918,-6.689909697859922,0.5280088015674392,0.0980678122495018,0.5683958226331107,579,0.6779859484777517,17.666377612596264,1606.386676671133,1606.386676671133,-1588.7202990585365,0.030511878432808746,2.77441567646137,2.77441567646137,-2.7439037980285605,0.4317789291882556,0.20886580176742148,0.01099758723672047,-1585.475278670359,854
10,1,volatility,low,0.42805764379729766,17139,0.23469316211890037,0.25408002281019404,-8.260513649507985,0.3921122665939157,0.14506659841877878,0.5408584770114943,1072,0.6261682242990654,53.6327325146102,3166.7449380348844,3166.7449380348844,-3113.112205520274,0.05003053406213639,2.9540531138385115,2.9540531138385115,-2.9040225797763752,0.3666044776119403,0.1880050727774149,0.01693623375550159,-3113.112336970015,1712
10,1,volatility,medium,0.35857538899572916,14357,0.27930991903584906,0.2960433897985148,-5.991004838076666,0.44224163353269635,0.12337454409083733,0.5518265518265518,960,0.6680584551148225,26.558127871799673,2763.407379128289,2763.407379128289,-2736.8492512564894,0.027664716533124665,2.8785493532586344,2.8785493532586344,-2.85088463672551,0.40520833333333334,0.18911887057810006,0.009610645202871745,-2736.849251256486,1437
10,2,spread,one_tick,0.002972102200354654,119,0.6004418145351468,0.6264611450915631,-4.333364187262699,0.8000029682505835,0.07344586787116655,0.5294117647058824,7,0.5833333333333334,-0.08488341333157123,4.371862433298402,4.371862433298402,-4.456745846629973,-0.012126201904510176,0.624551776185486,0.624551776185486,-0.6366779780899962,0.42857142857142855,0.29955776123408956,-0.01941584727942365,-3.6007646778402402,12
