horizon,fold,confidence_threshold,cost_fraction,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
10,1,0.05,0.0,3417,0.8536097926555084,76.48794867409325,10025.620512488495,0.0,76.48794867409325,0.02238453282823917,2.934041706903276,0.0,0.02238453282823917,0.376060872110038,0.16530177642035204,0.007629248342166495,-10.773798450632938,4003
10,1,0.05,0.25,3417,0.8536097926555084,76.48794867409325,10025.620512488495,2506.4051281221236,-2429.9171794480303,0.02238453282823917,2.934041706903276,0.733510426725819,-0.7111258938975799,0.376060872110038,0.16530177642035204,0.007629248342166495,-2431.1986812275036,4003
10,1,0.05,0.5,3417,0.8536097926555084,76.48794867409325,10025.620512488495,5012.810256244247,-4936.322307570154,0.02238453282823917,2.934041706903276,1.467020853451638,-1.4446363206233988,0.376060872110038,0.16530177642035204,0.007629248342166495,-4937.005627941165,4003
10,1,0.05,0.75,3417,0.8536097926555084,76.48794867409325,10025.620512488495,7519.21538436637,-7442.727435692277,0.02238453282823917,2.934041706903276,2.200531280177457,-2.178146747349218,0.376060872110038,0.16530177642035204,0.007629248342166495,-7442.812574654812,4003
10,1,0.05,1.0,3417,0.8536097926555084,76.48794867409325,10025.620512488495,10025.620512488495,-9949.1325638144,0.02238453282823917,2.934041706903276,2.934041706903276,-2.911657174075037,0.376060872110038,0.16530177642035204,0.007629248342166495,-9949.132563814397,4003
10,1,0.1,0.0,2611,0.6522608043967024,97.85723799900614,7536.538993834306,0.0,97.85723799900614,0.03747883492876528,2.8864569106987004,0.0,0.03747883492876528,0.3952508617387974,0.19304054117031857,0.012984373606912115,-9.83380504534395,4003
10,1,0.1,0.25,2611,0.6522608043967024,97.85723799900614,7536.538993834306,1884.1347484585765,-1786.2775104595703,0.03747883492876528,2.8864569106987004,0.7216142276746751,-0.6841353927459098,0.3952508617387974,0.19304054117031857,0.012984373606912115,-1786.2775104595655,4003
10,1,0.1,0.5,2611,0.6522608043967024,97.85723799900614,7536.538993834306,3768.269496917153,-3670.412258918147,0.03747883492876528,2.8864569106987004,1.4432284553493502,-1.4057496204205848,0.3952508617387974,0.19304054117031857,0.012984373606912115,-3670.412258918145,4003
10,1,0.1,0.75,2611,0.6522608043967024,97.85723799900614,7536.538993834306,5652.404245375729,-5554.547007376724,0.03747883492876528,2.8864569106987004,2.1648426830240255,-2.12736384809526,0.3952508617387974,0.19304054117031857,0.012984373606912115,-5554.547007376723,4003
10,1,0.1,1.0,2611,0.6522608043967024,97.85723799900614,7536.538993834306,7536.538993834306,-7438.6817558353005,0.03747883492876528,2.8864569106987004,2.8864569106987004,-2.8489780757699346,0.3952508617387974,0.19304054117031857,0.012984373606912115,-7438.68175583529,4003
10,1,0.2,0.0,930,0.23232575568323757,60.23147611817437,2441.2011349534205,0.0,60.23147611817437,0.06476502808405846,2.624947456939162,0.0,0.06476502808405846,0.43548387096774194,0.2756692571214861,0.024672885513517352,-4.358986086254745,4003
