horizon,fold,series,lag,autocorrelation
100,1,one_event_mid_log_return,1,-0.135526592638318
100,1,one_event_mid_log_return,5,-0.02934815961852886
100,1,one_event_mid_log_return,10,0.003346793591242991
100,1,one_event_mid_log_return,20,-0.011410016993634742
100,1,one_event_mid_log_return,50,0.0006760954803970372
100,1,one_event_mid_log_return,100,-0.003738572792141348
100,1,squared_one_event_mid_log_return,1,0.17292263328909457
100,1,squared_one_event_mid_log_return,5,0.07488657842724165
100,1,squared_one_event_mid_log_return,10,0.02737106264631335
100,1,squared_one_event_mid_log_return,20,0.018983382452323887
100,1,squared_one_event_mid_log_return,50,0.019141328723297303
100,1,squared_one_event_mid_log_return,100,0.0008637287567312336
100,1,non_overlapping_ridge_residual_bps,1,-0.06458299978544221
100,1,non_overlapping_ridge_residual_bps,2,0.058961752250198146
100,1,non_overlapping_ridge_residual_bps,5,0.07438215820982272
100,1,non_overlapping_ridge_residual_bps,10,0.053641922505542346
100,1,non_overlapping_ridge_residual_bps,20,0.07939953432118947
100,2,one_event_mid_log_return,1,-0.128701346322459
100,2,one_event_mid_log_return,5,0.0018480068210390609
100,2,one_event_mid_log_return,10,-0.014962105098446548
100,2,one_event_mid_log_return,20,0.014187546971744514
100,2,one_event_mid_log_return,50,0.0026824965901706167
100,2,one_event_mid_log_return,100,-0.0009466550116566084
100,2,squared_one_event_mid_log_return,1,0.21177156512178927
100,2,squared_one_event_mid_log_return,5,0.04744085398528319
100,2,squared_one_event_mid_log_return,10,0.04334949686777082
100,2,squared_one_event_mid_log_return,20,0.008166664759224068
100,2,squared_one_event_mid_log_return,50,0.01998205821142094
100,2,squared_one_event_mid_log_return,100,0.0051903491174698614
100,2,non_overlapping_ridge_residual_bps,1,0.025794546637631637
100,2,non_overlapping_ridge_residual_bps,2,-0.09423583080720303
100,2,non_overlapping_ridge_residual_bps,5,-0.0259763504102634
100,2,non_overlapping_ridge_residual_bps,10,-0.056697862665179795
100,2,non_overlapping_ridge_residual_bps,20,0.02820226743646055
100,3,one_event_mid_log_return,1,-0.09955981186428407
100,3,one_event_mid_log_return,5,-0.006761048131328906
100,3,one_event_mid_log_return,10,-0.006420941469749821
100,3,one_event_mid_log_return,20,0.011030990132778577
100,3,one_event_mid_log_return,50,-0.001192726659774735
100,3,one_event_mid_log_return,100,0.0007040842150920892
100,3,squared_one_event_mid_log_return,1,0.1606594171479427
100,3,squared_one_event_mid_log_return,5,0.025505143060245653
100,3,squared_one_event_mid_log_return,10,0.01223346635499609
100,3,squared_one_event_mid_log_return,20,0.009023589290734896
100,3,squared_one_event_mid_log_return,50,-0.00454016238458025
100,3,squared_one_event_mid_log_return,100,0.008824232485230605
100,3,non_overlapping_ridge_residual_bps,1,-0.028415515823598556
100,3,non_overlapping_ridge_residual_bps,2,0.01964841772431918
100,3,non_overlapping_ridge_residual_bps,5,0.035487251752448115
100,3,non_overlapping_ridge_residual_bps,10,0.01575969208153829
100,3,non_overlapping_ridge_residual_bps,20,-0.017477246697283698
100,4,one_event_mid_log_return,1,-0.11561909551309568
100,4,one_event_mid_log_return,5,-0.0135426003986803
100,4,one_event_mid_log_return,10,-0.00013727335072352386
100,4,one_event_mid_log_return,20,0.013520617907983612
100,4,one_event_mid_log_return,50,0.000345531177169198
100,4,one_event_mid_log_return,100,-0.0039701073309228565
100,4,squared_one_event_mid_log_return,1,0.13708078814760494
100,4,squared_one_event_mid_log_return,5,0.08835299947086064
100,4,squared_one_event_mid_log_return,10,0.04787149791379269
100,4,squared_one_event_mid_log_return,20,0.06223703582273245
100,4,squared_one_event_mid_log_return,50,0.011113392305461652
100,4,squared_one_event_mid_log_return,100,0.008036480009310456
100,4,non_overlapping_ridge_residual_bps,1,-0.09384431996088097
100,4,non_overlapping_ridge_residual_bps,2,0.004485525598286968
100,4,non_overlapping_ridge_residual_bps,5,-0.08960045474041894
100,4,non_overlapping_ridge_residual_bps,10,0.12478341863029747
100,4,non_overlapping_ridge_residual_bps,20,0.029100562428566717
100,5,one_event_mid_log_return,1,-0.08155531377697875
100,5,one_event_mid_log_return,5,-0.007120368235170321
100,5,one_event_mid_log_return,10,-0.0010362050249497498
100,5,one_event_mid_log_return,20,0.0007285654595961206
100,5,one_event_mid_log_return,50,0.0059844360348646685
100,5,one_event_mid_log_return,100,0.007181269507915028
100,5,squared_one_event_mid_log_return,1,0.09766731148280489
100,5,squared_one_event_mid_log_return,5,0.04312149486602675
100,5,squared_one_event_mid_log_return,10,0.04928795034168722
100,5,squared_one_event_mid_log_return,20,0.014182975726740092
100,5,squared_one_event_mid_log_return,50,-0.00010110921513526946
100,5,squared_one_event_mid_log_return,100,-0.001895576225831041
100,5,non_overlapping_ridge_residual_bps,1,0.06653654272224073
100,5,non_overlapping_ridge_residual_bps,2,-0.004807815786036054
100,5,non_overlapping_ridge_residual_bps,5,0.019403357082118964
100,5,non_overlapping_ridge_residual_bps,10,0.026034368365116856
100,5,non_overlapping_ridge_residual_bps,20,0.02133918311026905
