horizon,fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,purge_events,development_end_exclusive,train_rows_after_target_filter,validation_rows_after_target_filter,train_time_start_seconds,train_time_end_seconds,validation_time_start_seconds,validation_time_end_seconds,majority_accuracy,logistic_accuracy,balanced_accuracy,macro_f1,down_recall,flat_recall,up_recall,zero_mae_bps,ridge_mae_bps,ridge_mae_improvement_bps,ridge_mae_improvement_pct,zero_rmse_bps,ridge_rmse_bps,ridge_rmse_improvement_bps,ridge_rmse_improvement_pct,ridge_rank_ic,ridge_directional_accuracy,ridge_nonzero_directional_accuracy,active_signals,active_signal_fraction,gross_return_bps,estimated_total_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_estimated_cost_active_bps,mean_net_return_active_bps,break_even_cost_fraction,max_drawdown_bps
10,1,0,120016,120117,160155,120017,40039,100,320312,120017,40039,34200.004241176,40503.071225279,40504.816458975,43228.641331124,0.3251329953295537,0.36132271035740154,0.3649623324297256,0.29138364825636603,0.24893314366998578,0.8004783581513772,0.0454754954678138,0.26946916918143926,0.2883742977606093,-0.01890512857917004,-7.015692606541128,0.43910662620692287,0.4420739164913992,-0.0029672902844763427,-0.6757562075772567,0.1285439394215576,0.3725617522915158,0.5508900214196026,2612,0.6523476523476524,98.02815041493828,7536.538993834306,-7438.6817558353005,0.037529919760696126,2.8864569106987004,-2.8489780757699346,0.013007051445648432,-7438.68175583529
10,2,0,160055,160156,200194,160056,40039,100,320312,160056,40039,34200.004241176,43223.952170632,43228.641331124,45969.413604707,0.2752816004395714,0.435999900097405,0.36956517659387417,0.30309798331371646,0.1521634228727682,0.9030935295181812,0.053438577390673196,0.21929373890140505,0.23359237881171735,-0.0142986399103123,-6.520313795525643,0.37627250362937426,0.3741705919987846,0.002101911630589648,0.5586141985703041,0.20199073127666034,0.35263118459501985,0.6019355388813097,1425,0.3558941058941059,133.41321643610016,3600.9961248706186,-3467.5829084345187,0.0936233097797194,2.52701482447061,-2.43339151469089,0.037048975286218505,-3467.5829084345146
10,3,0,200094,200195,240233,200095,40039,100,320312,200095,40039,34200.004241176,45963.701114559,45969.414797508,49362.956244818,0.291940358150803,0.43410175079297686,0.35392330517071713,0.2515561222311448,0.026862862520318248,0.9749330157785056,0.059974037213327565,0.2194065433951726,0.23235157617710145,-0.01294503278192885,-5.900021294539782,0.3803702318683637,0.37626396559730607,0.004106266271057646,1.0795445928793708,0.23083554563786196,0.3578760708309398,0.6164601617621752,1037,0.25899100899100896,111.98476003465018,2519.07566013874,-2407.1767539636494,0.10798916107487964,2.4315402124891317,-2.323529685293098,0.04445470289228332,-2405.461429252682
10,4,0,240133,240234,280272,240134,40039,100,320312,240134,40039,34200.004241176,49361.175802788,49362.956480514,52160.900748787,0.3904692924398711,0.4125227902794775,0.36341328976253223,0.2755337365483541,0.06318308735540487,0.938851221696303,0.0882055602358888,0.23787343160487115,0.24988362263282535,-0.012010191027954198,-5.048983800723147,0.4066682951790386,0.4019966056596566,0.004671689519381961,1.1487715110235521,0.20060352411976393,0.3702889682559504,0.6074984634296251,1397,0.3489010989010989,150.4105652893506,3171.1053425601804,-3020.6947772708295,0.1076668327053333,2.269939400544152,-2.1622725678388184,0.0474315890016814,-3020.6947772708277
10,5,0,280172,280273,320311,280173,40039,100,320312,280173,40039,34200.004241176,52156.522052938,52160.918067995,55011.764845894,0.40370638627338346,0.4196408501710832,0.3759777187459576,0.3429536422524913,0.20429574555968608,0.7869339272457313,0.1367034834324554,0.2041631076680185,0.21465847592254633,-0.01049536825452782,-5.140678144258031,0.3441995019383785,0.33777570013720404,0.006423801801174467,1.8663018874224027,0.22890076995325725,0.3752591223557032,0.6293193717277487,1851,0.46228771228771226,163.8124563469101,3842.896873232713,-3680.4618273541214,0.08849943616796872,2.0772415530987636,-1.9894388255968223,0.04262733603077622,-3680.461827354126
