feature_set,feature_count_mean,feature_count_std,feature_count_min,feature_count_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,mae_bps_mean,mae_bps_std,mae_bps_min,mae_bps_max,mae_improvement_pct_mean,mae_improvement_pct_std,mae_improvement_pct_min,mae_improvement_pct_max,rank_ic_mean,rank_ic_std,rank_ic_min,rank_ic_max,nonzero_directional_accuracy_mean,nonzero_directional_accuracy_std,nonzero_directional_accuracy_min,nonzero_directional_accuracy_max,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_min,active_signal_fraction_max,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_min,mean_gross_return_active_bps_max,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_min,mean_net_return_active_bps_max,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_min,break_even_cost_fraction_max,mae_improvement_pct_positive,rank_ic_positive,mean_gross_return_active_bps_positive
all_features,35.0,0.0,35,35,0.4125745131672206,0.021222171675734338,0.3873538117543667,0.4321506008955985,0.3867762531435658,0.03725577952528538,0.3361827311529499,0.4278533104215165,0.6432283814350997,0.04739800903493129,0.5737660793739707,0.6829020113682853,0.5066509729038262,4.23323727624146,-4.602408447573166,6.052102028667106,0.26626510441740214,0.05311863292589054,0.2003670649882575,0.3409647063189455,0.5827036625634816,0.03210080747554531,0.552823758519961,0.6311084785008482,0.701123595505618,0.07286331585644032,0.6429463171036205,0.8264669163545568,0.18202001969174525,0.07487980776672369,0.0791515090883795,0.265849221688938,-2.394170075992952,0.2966195533375824,-2.7278133058160217,-1.9385724609417985,0.07225638957293906,0.03383561833074478,0.0316818357271027,0.1106916355577559,3,5,5
without_book_state,29.0,0.0,29,29,0.412345044094948,0.022251067556087724,0.3887996592523059,0.4387242811764931,0.3918312685103792,0.03731888087364098,0.3441396057800948,0.4414638543623554,0.6442952629206452,0.045168608137393366,0.5750815948947581,0.6811450940863919,0.33425346059519984,3.831107668090689,-4.322919084530335,5.836700800937711,0.2568687513946347,0.05463168312540792,0.1962938627498506,0.336020599402503,0.5824636953159962,0.02976890934365671,0.5622796867852434,0.6339893917772812,0.701123595505618,0.0695863620224335,0.6479400749063671,0.8214731585518102,0.19035797976446406,0.08771924129681327,0.0647415111163449,0.2949871835095397,-2.379730292364092,0.33569951659156066,-2.717423369338415,-1.8359060112477232,0.07672699595124219,0.04264709116631589,0.0255771383481317,0.1384335846748727,3,5,5
without_event_flow,13.0,0.0,13,13,0.356755127454912,0.014492784490372508,0.3452488496640509,0.3782989407244345,0.2804773501196648,0.04598777865285327,0.2323169341856753,0.3527732995854223,0.6879087976875825,0.04879801722594459,0.617729514175311,0.7338456065599531,-6.436415927617247,4.8862232061947575,-12.670768077360488,-1.1464278873783829,0.048156074963331755,0.053102720927532925,-0.0136439014482781,0.1150741042643336,0.4936721472851483,0.025392609010019187,0.4598786427580202,0.5234915591933443,0.786267166042447,0.16450623684302232,0.5692883895131086,0.9937578027465668,0.010447754960981739,0.0531460926251206,-0.0479057765231947,0.0795405440003012,-2.5774910099674657,0.2756750978069727,-2.925728967612875,-2.181940228637797,0.00453043686228338,0.020945954001821622,-0.0179418326399785,0.0306417192790628,0,4,3
without_time,31.0,0.0,31,31,0.4388596598023149,0.014120624431604096,0.4158388016617961,0.4501591790808444,0.42094450549649143,0.008585864045217918,0.4077460329008023,0.4308729837875177,0.6237102310231866,0.03884516136244981,0.5733527668961128,0.6784440284070645,3.511129380022824,2.081432921051243,0.5866378846086552,6.119777410492468,0.27539987107812325,0.05386192395298946,0.2000383547988316,0.3424697345674247,0.604995587497277,0.026027626527532488,0.5640556467454189,0.6280660186855497,0.6104868913857677,0.03094770351121228,0.5830212234706617,0.6604244694132334,0.2707336251129787,0.039208486699017546,0.2065965582553992,0.3012883400273379,-2.3159169707809126,0.2954485145589482,-2.703071884735866,-1.8928884406376447,0.10651626949554101,0.02278865599600113,0.0711449985190253,0.1338237111462675,5,5,5
without_volatility,32.0,0.0,32,32,0.4088024753152446,0.025528357845928943,0.384526071658675,0.4374681759467861,0.3833668174990855,0.042283200479193636,0.3322049254931652,0.431265238843291,0.6477922924288937,0.046306766061609494,0.5769615465697605,0.6860247697321862,-0.20611721470520195,4.093204129201704,-5.08073189724254,5.528879348078611,0.25360819362234926,0.05350272202786237,0.1860446409730826,0.3323758068514566,0.5782024470568016,0.03280771959850025,0.5465757870821162,0.6317546646563097,0.7106117353308365,0.07520435940682585,0.6254681647940075,0.8264669163545568,0.16965232127879756,0.07802777317125179,0.0730452527384491,0.250285229036034,-2.407028801862331,0.28437800959871423,-2.686782581391693,-1.9558787499388008,0.06731060819891478,0.03460321195103272,0.0292364341738813,0.1091931805615434,3,5,5
