horizon,fold,spread_regime,confidence_threshold,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
10,1,one_tick,0.05,4,1.0,0.512281723943353,1.538118724681659,1.538118724681659,-1.025837000738306,0.12807043098583826,0.38452968117041475,0.38452968117041475,-0.2564592501845765,0.25,0.26948489194490505,0.3330573353818177,-0.8549684027209481,4
10,1,one_tick,0.1,4,1.0,0.512281723943353,1.538118724681659,1.538118724681659,-1.025837000738306,0.12807043098583826,0.38452968117041475,0.38452968117041475,-0.2564592501845765,0.25,0.26948489194490505,0.3330573353818177,-0.8549684027209481,4
10,1,one_tick,0.2,4,1.0,0.512281723943353,1.538118724681659,1.538118724681659,-1.025837000738306,0.12807043098583826,0.38452968117041475,0.38452968117041475,-0.2564592501845765,0.25,0.26948489194490505,0.3330573353818177,-0.8549684027209481,4
10,1,one_tick,0.3,1,0.25,-0.0855205206495846,0.2565600992071744,0.2565600992071744,-0.34208061985675897,-0.0855205206495846,0.2565600992071744,0.2565600992071744,-0.34208061985675897,0.0,0.32200838555428773,-0.3333352337867865,-0.34208061985675897,4
10,1,one_tick,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
10,1,one_tick,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
10,1,three_plus_ticks,0.05,3387,0.8525044047319406,79.48190628867646,9997.334281764137,9997.334281764137,-9917.85237547546,0.023466757097335835,2.951678264471254,2.951678264471254,-2.928211507373918,0.3752583407144966,0.16458068088517208,0.00795030995749109,-9917.852375475455,3973
10,1,three_plus_ticks,0.1,2586,0.6508935313365215,102.56223184340163,7516.285598707066,7516.285598707066,-7413.7233668636645,0.03966056915831463,2.906529620536375,2.906529620536375,-2.866869051378061,0.39443155452436196,0.1921762778217817,0.013645334586679908,-7413.723366863653,3973
10,1,three_plus_ticks,0.2,909,0.22879436194311603,65.02146948909271,2423.084750265383,2423.084750265383,-2358.06328077629,0.07153076951495348,2.665659791271048,2.665659791271048,-2.5941290217560953,0.43454345434543457,0.2749398606311836,0.026834170567897546,-2358.0632807762895,3973
10,1,three_plus_ticks,0.3,233,0.058645859551975835,22.980919128969823,557.0157203269077,557.0157203269077,-534.034801197938,0.09863055420158723,2.390625409128359,2.390625409128359,-2.291994854926772,0.47639484978540775,0.3833310982714076,0.0412572182262334,-534.0348011979377,3973
10,1,three_plus_ticks,0.4,60,0.015101938082053864,6.91394519998445,127.23502961185731,127.23502961185731,-120.32108441187285,0.11523241999974083,2.1205838268642885,2.1205838268642885,-2.005351406864548,0.5166666666666667,0.5162848712853337,0.05433995041362512,-120.32108441187286,3973
10,1,three_plus_ticks,0.5,26,0.006544173168890007,4.783534504165798,57.931832064994865,57.931832064994865,-53.148297560829064,0.18398209631406917,2.228147387115187,2.228147387115187,-2.044165290801118,0.5769230769230769,0.6134609858562231,0.08257178020538099,-53.14829756082908,3973
10,1,two_ticks,0.05,26,1.0,-3.506239338526562,26.748111999676446,26.748111999676446,-30.25435133820301,-0.13485535917409855,1.0287735384490941,1.0287735384490941,-1.1636288976231925,0.5,0.24321016548020966,-0.13108361960533793,-29.912810369969904,26
10,1,two_ticks,0.1,21,0.8076923076923077,-5.217275568338842,18.715276402558548,18.715276402558548,-23.93255197089739,-0.24844169373042102,0.8912036382170737,0.8912036382170737,-1.1396453319474948,0.5238095238095238,0.28490757051403337,-0.2787709599429476,-23.59101100266428,26
10,1,two_ticks,0.2,17,0.6538461538461539,-5.302275094861697,16.57826596335639,16.57826596335639,-21.880541058218093,-0.31189853499186454,0.9751921154915524,0.9751921154915524,-1.287090650483417,0.5294117647058824,0.31612566126215375,-0.3198329129585404,-21.539000089984977,26
10,1,two_ticks,0.3,9,0.34615384615384615,-3.675948246257832,7.776344446520461,7.776344446520461,-11.452292692778293,-0.40843869402864796,0.8640382718356068,0.8640382718356068,-1.2724769658642547,0.4444444444444444,0.3994097241465942,-0.4727090307712181,-11.452292692778293,26
10,1,two_ticks,0.4,4,0.15384615384615385,0.00014890014665702722,1.8791332246616008,1.8791332246616008,-1.878984324514944,3.7225036664256805e-05,0.4697833061654002,0.4697833061654002,-0.46974608112873595,0.5,0.4714801283907188,7.923873874554133e-05,-1.8789843245149438,26
10,1,two_ticks,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
10,2,one_tick,0.05,10,0.8333333333333334,-0.770866212311816,5.572064849752904,5.572064849752904,-6.34293106206472,-0.0770866212311816,0.5572064849752904,0.5572064849752904,-0.634293106206472,0.3,0.23389001298504314,-0.13834480270738422,-5.486949893274987,12
10,2,one_tick,0.1,7,0.5833333333333334,-0.08488341333157123,4.371862433298402,4.371862433298402,-4.456745846629973,-0.012126201904510176,0.624551776185486,0.624551776185486,-0.6366779780899962,0.42857142857142855,0.29955776123408956,-0.01941584727942365,-3.6007646778402402,12
10,2,one_tick,0.2,6,0.5,-1.1140517595442656,3.3425969849065726,3.3425969849065726,-4.456648744450838,-0.1856752932573776,0.5570994974844288,0.5570994974844288,-0.7427747907418064,0.3333333333333333,0.33235768424312767,-0.33328928512014555,-3.6006675756611055,12
10,2,one_tick,0.3,4,0.3333333333333333,-1.799761147370793,2.4854271875367484,2.4854271875367484,-4.2851883349075415,-0.44994028684269827,0.6213567968841871,0.6213567968841871,-1.0712970837268854,0.0,0.37848861466592654,-0.7241254768579627,-3.4292071661178087,12
10,2,one_tick,0.4,1,0.08333333333333333,0.0,0.17124607204306644,0.17124607204306644,-0.17124607204306644,0.0,0.17124607204306644,0.17124607204306644,-0.17124607204306644,0.0,0.5479495660986127,0.0,-0.17124607204306644,12
10,2,one_tick,0.5,1,0.08333333333333333,0.0,0.17124607204306644,0.17124607204306644,-0.17124607204306644,0.0,0.17124607204306644,0.17124607204306644,-0.17124607204306644,0.0,0.5479495660986127,0.0,-0.17124607204306644,12
10,2,three_plus_ticks,0.05,2493,0.627485527309338,196.18796277602212,6622.167285534722,6622.167285534722,-6425.9793227587,0.07869553260169358,2.6563045670014933,2.6563045670014933,-2.5776090343997993,0.39590854392298436,0.13843853820848764,0.02962594484808163,-6425.9793227587,3973
10,2,three_plus_ticks,0.1,1407,0.3541404480241631,138.90087713874567,3585.2232339691186,3585.2232339691186,-3446.322356830373,0.09872130571339423,2.548133073183453,2.548133073183453,-2.449411767470059,0.4235963041933191,0.18931084510338755,0.03874260208477219,-3446.3223568303697,3973
10,2,three_plus_ticks,0.2,419,0.10546186760634281,56.97653956593385,996.8446481018633,996.8446481018633,-939.8681085359294,0.13598219466809988,2.3791041720808193,2.3791041720808193,-2.2431219774127196,0.4701670644391408,0.3045800932748378,0.057156889666233786,-939.8681085359299,3973
10,2,three_plus_ticks,0.3,155,0.039013340045305815,17.98862689112668,365.5053588302667,365.5053588302667,-347.5167319391401,0.1160556573621076,2.358099089227527,2.358099089227527,-2.2420434318654197,0.432258064516129,0.4195046344568201,0.04921576785822238,-347.51673193913985,3973
10,2,three_plus_ticks,0.4,58,0.014598540145985401,6.768224847979454,137.51076939734946,137.51076939734946,-130.74254454937,0.11669353186171472,2.3708753344370597,2.3708753344370597,-2.254181802575345,0.4482758620689655,0.5539702314482364,0.049219598418666924,-130.74254454937002,3973
10,2,three_plus_ticks,0.5,32,0.008054366977095394,2.482725713097711,71.36384341134317,71.36384341134317,-68.88111769824548,0.07758517853430347,2.230120106604474,2.230120106604474,-2.152534928070171,0.40625,0.6474122834787044,0.03478968612700988,-68.88111769824548,3973
