horizon,spread_regime,confidence_threshold,sampled_observations_mean,sampled_observations_std,sampled_observations_min,sampled_observations_max,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_min,active_signal_fraction_max,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_min,mean_gross_return_active_bps_max,mean_full_estimated_cost_active_bps_mean,mean_full_estimated_cost_active_bps_std,mean_full_estimated_cost_active_bps_min,mean_full_estimated_cost_active_bps_max,mean_applied_cost_active_bps_mean,mean_applied_cost_active_bps_std,mean_applied_cost_active_bps_min,mean_applied_cost_active_bps_max,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_min,mean_net_return_active_bps_max,active_hit_rate_mean,active_hit_rate_std,active_hit_rate_min,active_hit_rate_max,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_min,break_even_cost_fraction_max,positive_net_fold,positive_gross_fold
10,one_tick,0.05,14.2,8.64291617453276,4,25,0.8235555555555555,0.12063208016706051,0.6666666666666666,1.0,0.040396270045051606,0.23772713202102067,-0.1679306839323195,0.4171590356394361,0.6210614228489093,0.29544966300634334,0.3845296811704147,1.127429878716945,0.6210614228489093,0.29544966300634334,0.3845296811704147,1.127429878716945,-0.5806651528038578,0.19952423353937004,-0.7618762355413269,-0.2564592501845765,0.37190476190476185,0.2013587630919571,0.2142857142857142,0.7142857142857143,0.01196809789059794,0.314461853810913,-0.2827375059504912,0.370008852447815,0,2
10,one_tick,0.1,14.2,8.64291617453276,4,25,0.6460634920634921,0.19928634326324798,0.52,1.0,0.06071146949012356,0.25549200331152916,-0.2778647143286683,0.4295146538799699,0.6111648514424025,0.312073253141449,0.3223283239237511,1.115727505257296,0.6111648514424025,0.312073253141449,0.3223283239237511,1.115727505257296,-0.550453381952279,0.2715706768901498,-0.8865516850037329,-0.2564592501845765,0.39186813186813185,0.24193219266381216,0.2307692307692307,0.8,0.07073596629836951,0.33738807602997234,-0.4564985414760927,0.3849637584948847,0,3
10,one_tick,0.2,14.2,8.64291617453276,4,25,0.4258412698412698,0.3502610047935139,0.1111111111111111,1.0,-0.0209502510951029,0.21745449340640838,-0.2703822667436485,0.2572876733475393,0.49420582539999086,0.12703653682791932,0.3845296811704147,0.6881348754129927,0.49420582539999086,0.12703653682791932,0.3845296811704147,0.6881348754129927,-0.5151560764950938,0.33094328854411353,-0.9585171421566412,-0.1715339420513619,0.41380952380952374,0.3313050536118531,0.2,1.0,0.024854822626676664,0.430147686430067,-0.3929204526676188,0.5999876501286053,0,2
10,one_tick,0.3,14.2,8.64291617453276,4,25,0.18193650793650792,0.10478862093207233,0.0952380952380952,0.3333333333333333,-0.14441195531465315,0.26576906774039033,-0.4499402868426982,0.2572876733475393,0.47046906744994416,0.13984416359915244,0.2565600992071744,0.6213567968841871,0.47046906744994416,0.13984416359915244,0.2565600992071744,0.6213567968841871,-0.6148810227645973,0.367057467308032,-1.0712970837268854,-0.1715339420513619,0.26666666666666666,0.4346134936801766,0.0,1.0,-0.2580088544000122,0.5096618321549007,-0.7241254768579627,0.5999876501286053,0,1
10,one_tick,0.4,14.2,8.64291617453276,4,25,0.0357142857142857,0.04908459078116261,0.0,0.0952380952380952,-0.060093574279718176,0.1343733171003828,-0.3004678713985909,0.0,0.145865574268855,0.24207265599275113,0.0,0.5580817993012086,0.145865574268855,0.24207265599275113,0.0,0.5580817993012086,-0.20595914854857317,0.3722690223127111,-0.8585496706997995,0.0,0.0,0.0,0.0,0.0,-0.10767879252640597,0.24077709982414008,-0.5383939626320299,0.0,0,0
10,one_tick,0.5,14.2,8.64291617453276,4,25,0.02619047619047618,0.03802076053016978,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.06860609652153023,0.09394295942697528,0.0,0.1717844105645847,0.06860609652153023,0.09394295942697528,0.0,0.1717844105645847,-0.06860609652153023,0.09394295942697528,-0.1717844105645847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,three_plus_ticks,0.05,3961.8,15.221695043588296,3941,3973,0.6841302839802152,0.10583483798995107,0.5840886203423967,0.8525044047319406,0.06915116320339601,0.025582676389462374,0.0234667570973358,0.0823190560946591,2.5476045154472353,0.293449040247882,2.1491879220728465,2.951678264471254,2.5476045154472353,0.293449040247882,2.1491879220728465,2.951678264471254,-2.4784533522438394,0.31351842752556713,-2.928211507373918,-2.069664302145743,0.39583680471834065,0.012126936294821063,0.3752583407144966,0.4067137809187279,0.0280968113006334,0.011572562234081225,0.007950309957491,0.0370017061376395,0,5
10,three_plus_ticks,0.1,3961.8,15.221695043588296,3941,3973,0.4139434508707535,0.1510054976419819,0.2570493454179254,0.6508935313365215,0.08763145405354278,0.027552478415344344,0.0396605691583146,0.1051405111899824,2.463861398332454,0.2993051009375822,2.1026663775744887,2.906529620536375,2.463861398332454,0.2993051009375822,2.1026663775744887,2.906529620536375,-2.3762299442789114,0.31983493236662947,-2.866869051378061,-2.013035347152077,0.42251442011112844,0.017088557224205134,0.3944315545243619,0.4378060724779627,0.036671813791619524,0.013097082165366451,0.0136453345866799,0.0455240361486876,0,5
10,three_plus_ticks,0.2,3961.8,15.221695043588296,3941,3973,0.1277695408785941,0.06556091026476488,0.0546324269889224,0.228794361943116,0.11055490816176258,0.034273674852192224,0.0715307695149534,0.1408960021316269,2.2795772218752877,0.26979886330859837,1.931561193936021,2.665659791271048,2.2795772218752877,0.26979886330859837,1.931561193936021,2.665659791271048,-2.1690223137135254,0.29026237540697103,-2.5941290217560957,-1.8022809708805088,0.45888227456265895,0.01714083739572793,0.4345434543454345,0.4726962457337884,0.049803096549824,0.018422722200277446,0.0268341705678975,0.0669304309184597,0,5
10,three_plus_ticks,0.3,3961.8,15.221695043588296,3941,3973,0.039176941037397536,0.014528723594758375,0.0183786505538771,0.0586458595519758,0.11713442481735584,0.030459417337801047,0.0975150792109559,0.1700087615968734,2.174102566501401,0.2257846498579185,1.826447059404444,2.390625409128359,2.174102566501401,0.2257846498579185,1.826447059404444,2.390625409128359,-2.0569681416840444,0.2506465169302413,-2.291994854926772,-1.6564382978075702,0.48010443512744566,0.0348678000805745,0.432258064516129,0.5202312138728323,0.055434138740188564,0.02128769203368229,0.0412572182262334,0.093081680479865,0,5
10,three_plus_ticks,0.4,3961.8,15.221695043588296,3941,3973,0.014293992773320418,0.003819099933768431,0.0080563947633434,0.018523217457498,0.12794597554683657,0.0437789957704161,0.0816229286253467,0.20025264481063,2.108224875962996,0.2206724103461032,1.875550758086052,2.37087533443706,2.108224875962996,0.2206724103461032,1.875550758086052,2.37087533443706,-1.9802789004161592,0.2534404217737159,-2.254181802575345,-1.6752981132754214,0.5140672728704141,0.06529308608485948,0.4482758620689655,0.59375,0.06250320003903007,0.027046140588719236,0.035878863078176,0.106770048183064,0,5
10,three_plus_ticks,0.5,3961.8,15.221695043588296,3941,3973,0.00696932272225656,0.0018100844476988383,0.0040281973816717,0.0086075949367088,0.15702844740718305,0.07627155545893596,0.0775851785343034,0.2608708716654122,2.161304287830386,0.2137128899678991,1.872084031934459,2.435632776097188,2.161304287830386,0.2137128899678991,1.872084031934459,2.435632776097188,-2.0042758404232033,0.28158157814256835,-2.3497222547967773,-1.6112131602690467,0.5549189291101055,0.11556908980259553,0.40625,0.6875,0.07572447460202382,0.04337629800981421,0.0347896861270098,0.1393478429469052,0,5
10,two_ticks,0.05,27.0,7.615773105863909,18,37,0.8168577668577669,0.10317421306291037,0.75,1.0,0.031652455538308574,0.2733150032283852,-0.3492925799857588,0.3179137805904156,0.8174983567631176,0.1947792914466565,0.5723832388482987,1.028773538449094,0.8174983567631176,0.1947792914466565,0.5723832388482987,1.028773538449094,-0.785845901224809,0.43475602495265436,-1.335098370790064,-0.3628198279154376,0.5538370520622042,0.12038330811928385,0.4137931034482758,0.7083333333333334,0.08517604626795626,0.3281911990476692,-0.3543218991448367,0.4670164314175801,0,3
